id	pmc3	soc3	ozc3	pmc2	soc2	ozc2	pmc1	soc1	ozc1
13112	21.76607	.039029	.076743	25.24917	.046412	.087871	21.61874	.038122	.11591
14233	21.79681	.0307	.138944	24.1123	.035371	.128195	28.91788	.050602	.109988
16207	22.07139	.031896	.128165	25.72918	.04421	.128753	21.78949	.030676	.118562
15076	22.36983	.03299	.10442	21.66806	.034643	.145192	26.73742	.047766	.117752
13857	22.52144	.033071	.10121	25.53274	.043392	.122279	23.48303	.035589	.105576
15217	22.2497	.032848	.102079	23.53276	.03517	.108064	24.91282	.035746	.11759
13967	22.17472	.030968	.150019	25.92571	.043699	.144964	24.09116	.035718	.12801
15028	22.24852	.032997	.102019	21.80425	.034622	.150522	25.4557	.047704	.126615
16347	22.03578	.031803	.126976	23.58193	.034604	.106758	27.84198	.050553	.111776
16234	22.03643	.03199	.120932	21.8974	.044312	.119955	23.88853	.036541	.107618
14855	22.73062	.033135	.102305	22.84494	.043986	.108535	23.77588	.034891	.098545
16151	22.00408	.031532	.129982	23.6267	.034396	.107018	24.25204	.045486	.118913
15372	22.19942	.032941	.10209	23.55657	.035383	.108612	26.40144	.047669	.119516
16074	22.01192	.031865	.122539	25.59667	.044539	.125562	23.8535	.036574	.108277
12866	21.90489	.035466	.089926	25.25848	.044803	.103454	20.66778	.036854	.128744
15151	22.29408	.032897	.103559	22.35099	.032396	.10327	25.29765	.047459	.121563
14871	22.68265	.033149	.103091	21.65048	.033369	.105309	24.17781	.048534	.106354
14065	21.71942	.030845	.13774	22.28523	.032118	.154954	28.94841	.050692	.11
15533	22.22671	.032987	.101919	21.81158	.034563	.151376	24.9057	.035564	.117913
15931	21.88994	.031916	.115236	21.38465	.033663	.140922	23.97206	.046276	.112415
16146	21.99396	.031554	.128292	23.56736	.03447	.106675	24.24176	.045549	.118188
13939	22.04701	.031165	.145822	21.73644	.043487	.144203	24.18529	.03574	.12753
14834	22.5531	.033127	.104466	25.76668	.043593	.119525	21.82845	.033053	.105416
15220	22.32877	.032802	.102242	21.8714	.034091	.149238	25.43145	.047101	.125462
14044	22.15715	.031072	.149007	24.22855	.033445	.112709	24.20156	.044538	.12828
14306	21.811	.030696	.139565	24.0779	.035445	.128351	32.44027	.04755	.129268
14963	22.46097	.033065	.102125	22.19582	.032999	.103857	33.55085	.038296	.109796
14679	22.47945	.03336	.100701	21.8316	.034778	.093034	21.78549	.049058	.110982
16148	21.99678	.03153	.129119	21.76418	.044253	.125055	21.66585	.030149	.119512
15104	22.26416	.032935	.102727	22.51984	.043927	.11438	24.84325	.035731	.114896
12965	21.4862	.04168	.078421	22.61919	.042201	.085355	32.12378	.041089	.068783
16248	22.04061	.031887	.12467	25.65308	.044413	.12668	21.88214	.044221	.12221
15165	22.27342	.032914	.103012	23.51496	.035422	.107564	22.40331	.032459	.102548
16334	22.06109	.032159	.11746	25.5771	.044519	.123666	34.18939	.037915	.109385
16273	22.06998	.03213	.118789	23.39984	.034992	.106154	27.44974	.050112	.113542
16299	22.05937	.032108	.118858	21.66057	.033597	.142586	23.90695	.03652	.106746
15609	22.48502	.033075	.102669	24.57487	.035404	.106186	31.6225	.048385	.10543
12975	21.55899	.040188	.078754	21.3885	.048092	.070099	32.27032	.040827	.069345
16322	22.03692	.031844	.125736	23.54966	.034662	.106599	34.7423	.037649	.114441
12843	21.65478	.036502	.088263	22.46569	.03891	.092826	23.5714	.051699	.11098
16226	22.02929	.031938	.121919	21.65068	.030639	.114895	27.58262	.050489	.112532
13000	21.32729	.040097	.083203	22.29393	.04121	.08843	24.6195	.054176	.110264
14999	22.29683	.033016	.102009	22.42339	.032836	.102017	21.79543	.034697	.149083
15048	22.31686	.033006	.102546	23.50902	.035527	.107197	25.33562	.047762	.122141
15386	22.18676	.032945	.102027	21.80478	.034468	.152493	25.50584	.047535	.129315
15685	22.66536	.03311	.101985	21.87616	.033264	.104859	31.17782	.048288	.097811
16012	22.02424	.032115	.116869	21.89998	.044429	.117673	27.29583	.050339	.113681
16424	22.05453	.031593	.139036	21.81786	.043714	.134728	21.88082	.030356	.127678
13834	22.51479	.033076	.101807	22.70123	.043897	.1111	24.6543	.035325	.106868
13818	22.63457	.033082	.100602	23.47395	.035616	.104807	27.02662	.046855	.113878
13817	22.61684	.033081	.100659	24.7008	.035205	.106012	33.53945	.038316	.107936
15208	22.22848	.032862	.10205	22.50753	.043754	.115029	24.91259	.035734	.11817
16423	22.12405	.032104	.122532	25.6942	.044165	.126549	24.26218	.03624	.110215
13135	21.36264	.042551	.078891	21.35673	.037069	.091843	29.13823	.056953	.069125
12583	22.02826	.038321	.073868	21.59894	.035977	.089117	30.20294	.052199	.062323
14795	22.61172	.033175	.104508	23.32681	.035939	.106904	21.026	.03541	.142262
14442	21.89162	.030075	.136402	21.70869	.04288	.138058	24.04071	.031978	.110535
15160	22.36171	.032973	.104569	23.44923	.035578	.106945	21.67367	.034602	.145262
15064	22.29309	.032959	.102957	22.53346	.043948	.114055	24.80383	.035707	.113168
15072	22.37796	.033027	.103144	24.68408	.035583	.109158	25.18648	.04784	.117782
14098	21.89301	.030271	.138301	25.87944	.0432	.141234	28.7432	.050981	.109823
15895	21.83287	.032013	.112611	21.6339	.044825	.115149	23.39274	.037092	.102507
15665	22.68662	.033119	.102216	21.80353	.033307	.105007	33.3166	.038512	.103895
13361	22.94961	.03177	.080752	21.92177	.03561	.093172	21.7943	.039045	.118952
12845	21.61122	.035962	.091623	22.40922	.038633	.09581	20.66657	.036403	.129353
14018	22.13488	.03099	.148351	24.23989	.033348	.112865	24.06169	.035801	.12664
13905	22.07696	.032024	.12306	23.52077	.034762	.106461	21.80991	.033441	.143514
16364	22.05237	.032116	.118228	21.64513	.03086	.112798	31.72153	.048555	.100944
16253	22.0538	.031936	.124325	21.9104	.04419	.122083	23.53066	.034724	.106513
15457	22.20249	.032912	.101981	22.49512	.043759	.114961	24.91381	.035677	.118974
15295	22.37723	.032826	.10193	22.5866	.043698	.115557	25.42816	.047135	.124837
16354	22.05165	.031711	.132773	21.78911	.030436	.121604	28.13573	.050448	.111211
12653	21.45814	.042403	.078379	22.75412	.04286	.086271	24.82339	.033971	.074439
14918	22.67188	.03313	.102755	23.38984	.035823	.105507	21.3005	.035352	.141667
13977	21.92311	.030829	.142833	24.07549	.035604	.128397	32.44177	.04771	.129315
13867	22.45819	.033062	.101631	25.42693	.043451	.12359	22.24363	.033036	.103503
15035	22.30398	.032965	.103062	25.18662	.043737	.127027	25.30987	.04764	.12158
14991	22.38233	.033044	.101947	22.31977	.032935	.103004	31.86739	.048381	.115545
12770	21.63584	.038876	.07972	21.39954	.047314	.071673	24.67091	.054042	.109806
13381	23.07344	.03104	.081307	26.25785	.039275	.094826	24.63149	.02909	.076617
13068	21.36429	.041578	.080491	24.91154	.048667	.093295	24.96666	.055827	.109817
14203	22.13189	.031244	.147698	21.92481	.02992	.134067	24.21233	.044754	.127705
14812	22.48058	.033237	.107416	23.23952	.03608	.109309	23.22677	.048476	.098274
13368	23.14889	.030805	.079318	22.28898	.042758	.073524	22.11284	.035787	.092075
12948	21.37354	.04297	.079017	21.28804	.036174	.092239	25.34309	.058668	.109267
16194	22.06255	.031851	.128965	21.77904	.030611	.119043	24.1128	.036296	.112441
15107	22.26594	.032936	.102744	23.52227	.035439	.107686	24.84096	.03573	.114787
13910	22.04225	.03183	.126898	21.87067	.04417	.123644	21.72043	.030544	.117742
16266	22.05904	.032016	.121861	25.63464	.044418	.125516	23.97604	.036461	.10838
13257	22.75227	.03282	.080529	22.10724	.043902	.074556	21.79103	.035478	.093171
16411	22.1	.032066	.123014	24.42232	.046081	.116597	31.89748	.048444	.107008
16341	22.02215	.031715	.127897	21.85643	.033238	.144055	34.87201	.037589	.115801
14196	22.0931	.031278	.146364	25.90884	.043784	.142668	24.21414	.033584	.112501
16060	21.99554	.032137	.115271	23.21591	.03526	.10581	21.45662	.033732	.141711
15551	22.49059	.033081	.103324	22.65856	.043989	.111627	24.46885	.035434	.104846
12974	23.68647	.031851	.079285	21.53408	.040064	.079402	24.34674	.034971	.073957
15673	24.57989	.031441	.102741	21.49865	.035124	.14267	26.88388	.047046	.115794
13097	23.88799	.030375	.078905	21.81685	.048688	.068999	25.17955	.03235	.073045
13099	23.96676	.031234	.073859	21.51483	.035967	.089833	26.04782	.042146	.082795
12801	24.2551	.031133	.079579	21.68926	.045788	.072499	30.50352	.050119	.068293
13913	24.7914	.031184	.107299	21.87264	.044163	.123726	23.59187	.034604	.106806
13825	24.62727	.031442	.103068	23.46634	.035649	.10443	21.62435	.035174	.142106
13111	23.85999	.031557	.075941	21.64734	.038211	.115778	32.34094	.04066	.066731
15193	24.31128	.031486	.107979	22.5092	.043779	.115059	21.8248	.034169	.151087
14764	24.59876	.031337	.100276	23.25896	.036066	.107126	26.18826	.046677	.117656
13144	22.94548	.032187	.085188	21.05822	.035888	.09415	21.64324	.039499	.114907
13165	22.60749	.031679	.086591	24.79498	.052395	.099077	24.70207	.034287	.082231
12949	23.40864	.031658	.080531	21.36962	.042999	.079044	21.28628	.036176	.092255
13667	24.2763	.031389	.093433	21.95054	.044791	.110732	22.84184	.036866	.108633
13343	25.02964	.029909	.085718	22.20513	.0434	.08192	24.07147	.030342	.079286
14248	24.95737	.03034	.111453	21.89983	.030395	.139472	24.18365	.032492	.112177
14542	24.47431	.031221	.094203	25.79804	.043548	.113198	21.12559	.049321	.116852
12979	23.70687	.031858	.081454	22.45126	.040543	.087106	30.02035	.052769	.070073
12660	24.39687	.030852	.072627	22.24042	.036221	.074454	21.62587	.035538	.089497
16149	24.77837	.031111	.107857	22.00318	.03158	.128852	23.89259	.036478	.111727
15914	24.35237	.031238	.103989	21.84838	.031929	.11389	21.34908	.030451	.111397
15794	24.60767	.031434	.102788	25.82772	.043362	.11874	24.45701	.035167	.103165
14123	25.03901	.030655	.11275	21.73088	.043515	.144266	21.94783	.029477	.136491
14903	24.65189	.031361	.101177	21.66043	.033419	.105182	23.82492	.03494	.09886
13419	24.37166	.031085	.092412	21.89274	.044761	.100201	22.18736	.034074	.087778
12971	23.65872	.031854	.078934	21.36976	.048283	.070627	29.84951	.053962	.06793
16185	24.80889	.031186	.107429	22.05402	.031857	.127488	21.89124	.044117	.12414
13655	24.29829	.031371	.093176	25.51406	.044345	.113059	20.82673	.049174	.119571
12955	23.52134	.031864	.079554	22.57659	.042444	.085884	29.60846	.055334	.068267
12741	23.91055	.031595	.080694	24.41079	.05321	.109904	30.22139	.051668	.069368
14252	24.93407	.030289	.111199	21.71871	.043172	.140499	23.97976	.035216	.124541
14352	24.98836	.03041	.111695	25.9209	.043301	.144404	24.19361	.043651	.129067
13893	24.80546	.03121	.107122	23.6017	.034616	.106821	21.88501	.033332	.144213
12873	24.0301	.031433	.089366	21.22087	.034023	.099658	23.03022	.035111	.084344
15525	24.30559	.031508	.107887	25.04665	.043526	.130586	24.90042	.035546	.117278
13429	24.24841	.031245	.093055	21.99734	.034732	.088608	30.59405	.048988	.07555
13295	24.9691	.029947	.073647	22.78684	.033266	.0748	25.33379	.051617	.109017
14578	24.34336	.031412	.096052	22.06944	.044681	.110893	21.42369	.03582	.092275
12872	24.07286	.031389	.090487	25.21088	.044939	.105074	20.5598	.036684	.130519
12868	24.12158	.031338	.089806	22.88087	.034819	.084826	22.97748	.05108	.111569
16031	24.34372	.031215	.104251	25.28222	.045058	.121883	22.97956	.035335	.104697
16079	24.64846	.031203	.10598	25.56077	.044612	.12517	21.5879	.030451	.115073
15325	24.26112	.031493	.108639	24.97257	.04369	.132249	22.53726	.032431	.100436
15521	24.3089	.031507	.107829	22.52147	.043808	.114485	22.49219	.032806	.101158
16019	24.5106	.031342	.103526	25.48395	.044712	.121759	21.92777	.044524	.115669
15283	24.53539	.031502	.105934	23.44104	.035094	.10631	22.40241	.032404	.103772
15089	24.44896	.031482	.104705	25.329	.043792	.124225	24.6309	.035719	.10835
14601	24.34022	.031417	.096516	25.54232	.044431	.115448	21.47734	.035875	.092771
16142	24.74497	.031106	.107614	27.8504	.051152	.111042	31.90154	.04843	.107855
14848	24.65004	.031347	.100926	22.71124	.033146	.102646	23.35421	.035898	.105535
15634	24.61603	.031419	.102223	22.64493	.033117	.10252	23.41088	.035776	.105386
14347	24.97957	.030375	.111575	22.26347	.031777	.153558	24.08403	.035251	.127113
13578	24.31794	.031355	.093069	22.00966	.044718	.110946	19.39337	.035796	.149849
13323	25.1355	.02971	.083434	23.45751	.034997	.088232	26.01508	.042786	.09071
13336	25.13901	.029705	.085228	26.17938	.039858	.096841	21.86416	.035524	.094742
14700	24.53345	.031317	.098314	22.44817	.044297	.110464	21.27947	.033376	.105921
13963	25.04677	.030699	.112921	22.14955	.030952	.149207	24.08134	.035722	.12783
12976	23.62139	.031902	.079391	21.48479	.040777	.079312	21.23564	.035298	.092604
14852	24.6543	.031353	.10107	26.10374	.043281	.116558	24.2328	.048574	.107025
13432	24.21882	.031285	.093374	25.39191	.044329	.110376	21.8827	.034936	.089018
12834	24.13738	.031312	.085956	21.60152	.045667	.083947	32.56867	.039953	.082353
13900	24.8231	.031182	.107602	22.05853	.031857	.128125	21.7626	.030606	.118485
13479	24.49284	.030921	.092364	22.34325	.033786	.093986	30.68127	.048183	.075681
16192	24.83557	.03117	.107852	25.72347	.044259	.129042	24.08262	.036319	.11236
13041	23.57731	.031992	.080537	21.29162	.04839	.073092	21.49977	.037916	.117339
13591	24.61284	.030822	.093842	22.25119	.044072	.103279	22.088	.049785	.113378
14655	24.41734	.031347	.094868	19.56916	.035721	.147269	30.7697	.048581	.073828
13597	24.53991	.031034	.09433	25.87558	.043005	.112155	22.27322	.044234	.107333
14128	25.03594	.030856	.112622	24.18543	.033616	.112138	24.1061	.035921	.125024
15279	24.51936	.031503	.106057	21.93109	.034128	.147839	32.0602	.04838	.121289
15604	24.53623	.031461	.10367	22.69742	.043933	.111068	31.56171	.048361	.104932
13197	22.50205	.031076	.086686	21.30808	.05383	.080161	28.23435	.061075	.0718
13288	25.0987	.029745	.076193	26.13183	.040386	.087703	25.31903	.050973	.1084
14396	24.99029	.030437	.111659	21.73214	.043116	.144253	22.26963	.031858	.153917
13434	24.20232	.031299	.093362	21.19043	.033737	.104219	19.97495	.036432	.139792
15044	24.365	.03149	.106485	25.15822	.043701	.127683	22.3853	.032632	.102605
16292	24.67045	.031267	.105426	25.59637	.044502	.124541	23.89352	.036535	.107113
13631	24.46795	.031446	.102756	25.64564	.044253	.122595	23.12175	.036207	.111615
15954	24.61556	.031299	.104692	21.93707	.044382	.117816	21.61935	.030887	.112162
15180	24.49638	.031476	.103677	25.45265	.043801	.122385	24.90589	.047834	.111406
14988	24.44925	.031483	.10526	22.41004	.033051	.101965	23.49363	.035572	.106406
16311	24.76873	.031159	.107337	21.82379	.044233	.123661	24.2685	.045741	.11752
15900	24.38831	.031272	.103737	21.89134	.032058	.113408	23.4602	.036974	.102985
