"Product" "Country" "TariffFinal" "TariffBase" "Import" "Price2" "MisMatch" "Herf" "Ave_cd"
100110 "Albania" 5 10 10.0251998901367 0.190643805870993 1.11199998855591 0.198912387916182 0
100110 "China" 1 114 527.118408203125 0.190643805870993 0 0.533748258430034 0
100110 "Estonia" 20 0 0.360599994659424 0.190643805870993 0.303799986839294 0.654756000793493 0
100110 "Jordan" 0 0 58.8087997436523 0.190643805870993 0.207000002264977 0.344873683249191 0
100110 "Latvia" 25 25 0.506399989128113 0.190643805870993 0.294600009918213 0.439384171466124 0
100110 "Lithuania" 10 0 1.66999995708466 0.190643805870993 1.50059998035431 1 0
100110 "Moldova" 10 0 0.814400017261505 0.190643805870993 0.224600002169609 0.309676734623102 0
100110 "Oman" 5 0 32.6994018554688 0.190643805870993 0 0.86438593024598 0.00186405004933476
100190 "Albania" 5 10 8.04660034179688 0.190643805870993 0.589999973773956 0.152677006127778 0
100190 "China" 1 114 409.703186035156 0.190643805870993 0.494199991226196 0.242258609649624 1.47000002925779e-06
100190 "Estonia" 28 0 10.2643995285034 0.190643805870993 1.25859999656677 0.550637427273452 0
100190 "Jordan" 0 0 81.7462005615234 0.190643805870993 0 0.426872327800799 0
100190 "Latvia" 40 25 6.48759984970093 0.190643805870993 3.04940009117126 0.427598238166167 0.403411686420441
100190 "Lithuania" 40 30 2.45059990882874 0.190643805870993 1.96220004558563 0.240431742888745 0
100190 "Moldova" 10 0 3.47099995613098 0.190643805870993 0.285199999809265 0.461989485240119 0
100190 "Oman" 5 0 4.55219984054565 0.190643805870993 0.0104000000283122 0.714846740125752 0.129215016961098
100200 "China" 1.5 1.875 24.0284004211426 0.190643805870993 0.821399986743927 0.349206226862385 0
100200 "Estonia" 59 0 1.11580002307892 0.190643805870993 0.946799993515015 0.356333461713525 0
100200 "Latvia" 50 75 2.53940010070801 0.190643805870993 0.79119998216629 0.290897577871817 0
100200 "Lithuania" 50 30 2.78200006484985 0.190643805870993 1.01760005950928 0.324858362738894 0
100200 "Moldova" 10 0 0.9617999792099 0.190643805870993 0.175799995660782 0.624618611969 0
100300 "Albania" 5 10 0.17960000038147 0.190643805870993 0.0131999999284744 1 0
100300 "China" 3 91.1600036621094 295.760589599609 0.190643805870993 0 0.39066080714833 0
100300 "Estonia" 40 0 4.93020009994507 0.190643805870993 4.10760021209717 0.291977918478405 0
100300 "Jordan" 0 0 57.0839996337891 0.190643805870993 25.5998001098633 0.199145329409175 0
100300 "Latvia" 50 75 1.8672000169754 0.190643805870993 1.31040000915527 0.389249374504558 0
100300 "Lithuania" 40 30 4.27920007705688 0.190643805870993 3.94939994812012 0.345512891470693 0
100300 "Moldova" 10 15 0.120399996638298 0.190643805870993 0.120399996638298 NA 0
100300 "Oman" 5 0 14.0972003936768 0.190643805870993 1.21979999542236 0.757533645334035 0
100400 "China" 1 1.79999995231628 0.146200001239777 0.190643805870993 0.0659999996423721 0.611072070447323 0
100400 "Estonia" 40 0 0.0732000023126602 0.190643805870993 0.0732000023126602 NA 0
100400 "Latvia" 50 75 0.0388000011444092 0.190643805870993 0.0388000011444092 NA 0
100400 "Lithuania" 40 30 0.303799986839294 0.190643805870993 0.303799986839294 NA 0
100400 "Oman" 15 5 0.303600013256073 0.190643805870993 0 0.90251370900967 0
100510 "Albania" 5 10 0.025000000372529 0.190643805870993 0 1 0
100510 "China" 1 40 1.22479999065399 0.190643805870993 0 0.737262373392731 0
100510 "Estonia" 20 0 0.10360000282526 0.190643805870993 0.10360000282526 NA 0
100510 "Jordan" 5 5 0.0772000029683113 0.190643805870993 0 1 0
100510 "Latvia" 50 0.5 0.0165999997407198 0.190643805870993 0 1 1.73441159725189
100510 "Lithuania" 0 0 2.17059993743896 0.190643805870993 0.169200003147125 0.383098704095901 0
100510 "Moldova" 10 10 0.997200012207031 0.190643805870993 0.235599994659424 0.527435054904315 0
100510 "Oman" 15 0 0.221399992704391 0.190643805870993 0.153999999165535 1 1.24931228160858
100590 "Albania" 5 10 0.823800027370453 0.190643805870993 0.0590000003576279 0.266815455349171 0
100590 "China" 1 114 184.901596069336 0.190643805870993 0.0799999982118607 0.887408832465242 0.201561719179153
100590 "Estonia" 5 0 0.276399999856949 0.190643805870993 0.0551999993622303 0.669524114725204 0
100590 "Jordan" 5 5 47.6571998596191 0.190643805870993 0.349000006914139 0.478907392834857 0
100590 "Latvia" 10 0.5 1.94480001926422 0.190643805870993 0.495000004768372 0.420673338268377 0.303071558475494
100590 "Lithuania" 5 0 3.68560004234314 0.190643805870993 1.31239998340607 0.20819912473375 0
100590 "Moldova" 10 10 0.419800013303757 0.190643805870993 0 0.747574618100091 0
100590 "Oman" 10 0 4.52920007705688 0.190643805870993 0.310999989509583 0.314595010675543 0.359906911849976
100610 "Albania" 5 10 0.215000003576279 0.190643805870993 0 0.621077771768524 0
100610 "China" 1 114 0.0248000007122755 0.190643805870993 0 1 0.139981284737587
100610 "Estonia" 10 0 0.73580002784729 0.190643805870993 0.00999999977648258 0.377826775991844 0
100610 "Latvia" 20 0.5 0.0146000003442168 0.190643805870993 0 1 0.134166106581688
100610 "Lithuania" 5 0 0.279000014066696 0.190643805870993 0 0.213104662067548 0
100610 "Moldova" 5 5 0.0450000017881393 0.190643805870993 0.0165999997407198 1 0
100620 "Albania" 5 10 3.85540008544922 0.190643805870993 0.168400004506111 0.273246716981626 0
100620 "China" 1 114 1.57539999485016 0.190643805870993 0.694800019264221 0.947406866325785 1.14999996287876e-13
100620 "Estonia" 10 0 0.165600001811981 0.190643805870993 0.0292000006884336 0.303794257015333 0
100620 "Latvia" 20 0.5 0.0263999998569489 0.190643805870993 0 1 0.562867045402527
100620 "Lithuania" 5 0 0.314399987459183 0.190643805870993 0 0.302810312789335 0
100620 "Moldova" 5 5 0.209399998188019 0.190643805870993 0.0961999967694283 1 0
100620 "Oman" 5 0 1.79200005531311 0.190643805870993 0 0.380206871811225 1.08017456531525
100630 "Albania" 5 10 4.96920013427734 0.190643805870993 0 0.352024920422788 0
100630 "China" 1 114 205.569198608398 0.190643805870993 28.6692008972168 0.965032348710168 2.27538657188416
100630 "Estonia" 5 0 1.08360004425049 0.190643805870993 0.0755999982357025 0.263239323507181 0
100630 "Jordan" 5 5 39.5559997558594 0.190643805870993 1.5349999666214 0.301747882595956 0
100630 "Latvia" 5 0.5 1.7474000453949 0.190643805870993 0.247400000691414 0.145931093333333 2.10546565055847
100630 "Lithuania" 5 0 2.87140011787415 0.190643805870993 0.136600002646446 0.117426593450888 0
100630 "Moldova" 5 5 2.32179999351501 0.190643805870993 0.868799984455109 0.577496117153726 0
100630 "Oman" 5 0 47.4953994750977 0.190643805870993 0.0394000001251698 0.437052095124549 2.0184440612793
100640 "China" 10 40 4.67780017852783 0.190643805870993 0.123000003397465 1 0.0902386084198952
100640 "Estonia" 10 0 0.0640000030398369 0.190643805870993 0 0.509453125 0
100640 "Lithuania" 5 0 0.0527999997138977 0.190643805870993 0.0390000008046627 1 0
100640 "Moldova" 5 5 0.557399988174438 0.190643805870993 0.557399988174438 NA 0
100700 "China" 1 1.79999995231628 0.0186000000685453 0.190643805870993 0 1 0
100700 "Jordan" 10 10 0.0258000008761883 0.190643805870993 0 1 0
100700 "Oman" 15 5 0.566799998283386 0.190643805870993 0 1 0
100810 "China" 2 3 0.135800004005432 0.190643805870993 0 0.559904650562531 0
