"Product" "Country" "Import" "Price2" "WMFN" "MFN" "WBND" "BND" "Sigma" "InvOmega"
100110 "China" 527118.4 0.190643805870993 114 114 1 1 9.3778772354126 0.0474761053919792
100190 "China" 409703.2 0.190643805870993 114 114 1 1 9.3778772354126 0.0474761053919792
100110 "Ecuador" 80837.2 0.190643805870993 5.33333333333333 5.33333333333333 20.5 20.5 3.72790122032166 0.0328646302223206
100190 "Ecuador" 23251.2 0.190643805870993 5.17 5.67 25.67 25.67 3.72790122032166 0.0328646302223206
100110 "Latvia" 506.4 0.190643805870993 NA 25 NA 25 2.78596258163452 0.00568794878199697
100190 "Latvia" 6487.6 0.190643805870993 25 25 40 40 2.78596258163452 0.00568794878199697
100110 "Lithuania" 1670 0.190643805870993 0 0 10 10 15.6326951980591 0.821777760982513
100190 "Lithuania" 2450.6 0.190643805870993 30 30 40 40 15.6326951980591 0.821777760982513
100110 "Oman" 32699.4 0.190643805870993 0 0 5 5 2.17757654190063 0.131814330816269
100190 "Oman" 4552.2 0.190643805870993 0 0 5 5 2.17757654190063 0.131814330816269
100200 "Latvia" 2539.4 0.190643805870993 75 75 50 50 5.72491598129272 0.600868046283722
100300 "China" 295760.6 0.190643805870993 91.16 91.16 3 3 5.12086486816406 0.00878786016255617
100300 "Latvia" 1867.2 0.190643805870993 75 75 50 50 8.69331550598145 0.21773387491703
100300 "Lithuania" 4279.2 0.190643805870993 30 30 40 40 2.31333160400391 1.30985248088837
100300 "Oman" 14097.2 0.190643805870993 0 0 5 5 1.50949025154114 5.03704118728638
100510 "China" 1224.8 0.190643805870993 40 40 1 1 7.90243434906006 0.350475400686264
100590 "China" 184901.6 0.190643805870993 114 114 1 1 7.90243434906006 0.350475400686264
100510 "Ecuador" 159 0.190643805870993 2.33333333333333 2.33333333333333 15 15 4.18549013137817 0.978323876857758
100590 "Ecuador" 27324 0.190643805870993 14 14 37 37 4.18549013137817 0.978323876857758
100510 "Latvia" 16.6 0.190643805870993 0.5 0.5 50 50 1.73458003997803 0.0350722149014473
100590 "Latvia" 1944.8 0.190643805870993 0.5 0.5 10 10 1.73458003997803 0.0350722149014473
100510 "Lithuania" 2170.6 0.190643805870993 0 0 0 0 15.0467195510864 0.708843410015106
100590 "Lithuania" 3685.6 0.190643805870993 0 0 5 5 15.0467195510864 0.708843410015106
100510 "Oman" 221.4 0.190643805870993 0 0 15 15 1.79585647583008 0.0128551591187716
100590 "Oman" 4529.2 0.190643805870993 0 0 10 10 1.79585647583008 0.0128551591187716
100610 "China" 24.8 0.190643805870993 114 114 1 1 14.1478633880615 0.185252353549004
100620 "China" 1575.4 0.190643805870993 114 114 1 1 14.1478633880615 0.185252353549004
100630 "China" 205569.2 0.190643805870993 114 114 1 1 14.1478633880615 0.185252353549004
100640 "China" 4677.8 0.190643805870993 40 40 10 10 14.1478633880615 0.185252353549004
100610 "Ecuador" 8256.6 0.190643805870993 8.16666666666667 8.16666666666667 41.25 41.25 7.89250469207764 0.0912620797753334
100620 "Ecuador" 1555.2 0.190643805870993 19 19 67.5 67.5 7.89250469207764 0.0912620797753334
100630 "Ecuador" 1721 0.190643805870993 20 20 67.5 67.5 7.89250469207764 0.0912620797753334
100640 "Ecuador" 152.4 0.190643805870993 NA 19 NA 67.5 7.89250469207764 0.0912620797753334
100610 "Latvia" 14.6 0.190643805870993 0.5 0.5 20 20 2.58966398239136 0.122116610407829
100620 "Latvia" 26.4 0.190643805870993 0.5 0.5 20 20 2.58966398239136 0.122116610407829
100630 "Latvia" 1747.4 0.190643805870993 0.5 0.5 5 5 2.58966398239136 0.122116610407829
100640 "Latvia" NA 0.190643805870993 NA 0.5 NA 20 2.58966398239136 0.122116610407829
100610 "Lithuania" 279 0.190643805870993 0 0 5 5 4.08806180953979 0.247114583849907
100620 "Lithuania" 314.4 0.190643805870993 0 0 5 5 4.08806180953979 0.247114583849907
100630 "Lithuania" 2871.4 0.190643805870993 0 0 5 5 4.08806180953979 0.247114583849907
100640 "Lithuania" 52.8 0.190643805870993 0 0 5 5 4.08806180953979 0.247114583849907
100610 "Oman" NA 0.190643805870993 0 0 15 15 5.0031886100769 1254.49182128906
100620 "Oman" 1792 0.190643805870993 0 0 5 5 5.0031886100769 1254.49182128906
100630 "Oman" 47495.4 0.190643805870993 0 0 5 5 5.0031886100769 1254.49182128906
100640 "Oman" NA 0.190643805870993 NA 0 NA 15 5.0031886100769 1254.49182128906
100810 "China" 135.8 0.190643805870993 3 3 2 2 2.53555297851563 2.54734492301941
100830 "China" NA 0.190643805870993 3 3 2 2 2.53555297851563 2.54734492301941
