	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	fig3_panelA	fig3_panelB	fig3_panelC	fig3_panelD	text_1930_farm_low	text_1930_farm_med	text_1930_farm_high	text_1930_val_low	text_1930_val_med	text_1930_val_high	text_1930_val_tot	fig3_rev	text_ratio_pdv_h	text_ratio_pdv_m	text_ratio_pdv_hm	t2_landvalue_a	text_tot_cost	t2_landvalue_b	text_1930_farm_low	text_1930_farm_med	text_1930_farm_high	text_1930_val_low	text_1930_val_med	text_1930_val_high
																								
m1_1_1910	0.3804232233	0.1393805685	0.0671712528	0.0000000000																				
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)																				
m1_1_1920	0.2909685821	-0.0220159798	-0.0263956795	0.0000000000																				
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)																				
m1_1_1925	0.3235959202	0.0277934435	0.0550008199	0.0000000000																				
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)																				
m1_1_1930	0.2967681959	0.0415418077	0.0509833877	0.0000000000																				
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)																				
m1_1_1940	0.1480164653	-0.1131755557	-0.1289485812	-0.1658410118								-0.155**				-0.166**								
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.040)				(0.030)								
m1_1_1945	0.2067228401	-0.0177045481	-0.0389662891	-0.0799647183								-0.100**				-0.080**								
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.030)				(0.027)								
m1_1_1950	0.1295731233	-0.0497972373	-0.0593468498	-0.1107597254								-0.117**												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.035)												
m1_1_1954	0.0434808304	-0.1339614769	-0.1191460889	-0.1768887181								-0.257**												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.047)												
m1_1_1959	-0.0021493818	-0.1788817304	-0.1528108717	-0.2088381981								-0.146**												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.044)												
m1_1_1964	0.0025753674	-0.1586960300	-0.1330877509	-0.1915281136								-0.170**												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.047)												
m1_1_1969	0.0806127965	-0.1189310241	-0.1004829403	-0.1494674467								-0.037												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.050)												
o.m1_1_1974	-	-	-	-																				
																								
m1_1_1978	0.1455593380	-0.0642162370	-0.0564680782	-0.0951530415								-0.002												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.056)												
m1_1_1982	0.0935459347	-0.1092148494	-0.1311331976	-0.1582654415								-0.098												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.061)												
m1_1_1987	0.1703322586	-0.0520699714	-0.0795209566	-0.1050483226								0.010												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.063)												
m1_1_1992	0.1968140235	-0.0379765864	-0.0608884060	-0.0820382945								-0.046												
	(0.0674281666)	(0.0347080402)	(0.0350145274)	(0.0278260527)								(0.068)												
o.m1_1_1997	-	-	-	-																				
																								
m1_2_1910	0.3903551659	0.2216653691	0.1110071712	0.0000000000																				
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)																				
m1_2_1920	0.2442057980	-0.0534185631	-0.0792357559	0.0000000000																				
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)																				
m1_2_1925	0.2978193672	0.0206083393	-0.0009789603	-0.0000000000																				
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)																				
m1_2_1930	0.2411680975	0.0025840597	-0.0172968512	-0.0000000000																				
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)																				
m1_2_1940	-0.0549459364	-0.2704173703	-0.3204602451	-0.2999469970								-0.267**				-0.300**								
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.055)				(0.038)								
m1_2_1945	-0.0011628526	-0.1799311241	-0.2410692268	-0.2226739745								-0.107**				-0.223**								
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.038)				(0.036)								
m1_2_1950	-0.0999006304	-0.2245492427	-0.2578866425	-0.2444482785								-0.150**												
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.047)												
m1_2_1954	-0.1679422197	-0.3168833625	-0.3344350068	-0.3340451402								-0.329**												
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.062)												
m1_2_1959	-0.2254729608	-0.3786080557	-0.3832860991	-0.3867898071								-0.231**												
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.059)												
m1_2_1964	-0.1715948365	-0.3189961449	-0.3266223797	-0.3331915650								-0.341**												
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.066)												
m1_2_1969	-0.0591216078	-0.2919876069	-0.2924802877	-0.3013920162								-0.200**												
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.068)												
o.m1_2_1974	-	-	-	-																				
																								
m1_2_1978	0.0015788519	-0.2735204765	-0.2796524593	-0.2863424967								-0.271**												
