	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	T6 C1 PanelA	T6 C1 PanelB	T6 C1 PanelC	T6 C2 PanelA	T6 C2 PanelC	T6 C2 PanelB	T6 C3 PanelA	T6 C3 PanelB	T6 C3 PanelC	T6 C4 PanelA	T6 C4 PanelB	T6 C4 PanelC	T6 C5 PanelA	T6 C5 PanelB	T6 C5 PanelC
															
yearsref	0.281		0.291	0.281	0.321	0.321	0.220		0.204	0.268		0.284	0.191		0.193
	[0.114]		[0.102]	[0.114]	[0.112]	[0.0818]	[0.122]		[0.124]	[0.110]		[0.112]	[0.105]		[0.143]
yr1750	2.077	-1.703	2.129	2.077	2.294	2.294	2.535	-1.220	2.496	2.150	-1.741	2.214	2.311	-0.975	2.315
	[0.970]	[1.644]	[0.961]	[0.970]	[0.972]	[1.763]	[0.935]	[1.663]	[0.874]	[0.804]	[1.130]	[0.814]	[0.739]	[1.082]	[0.697]
yr1800	4.232	-1.064	4.279	4.232	4.424	4.424	4.937	-0.624	4.907	4.247	-1.286	4.304	4.941	-0.567	4.944
	[0.906]	[1.340]	[0.891]	[0.906]	[0.966]	[1.885]	[1.536]	[1.391]	[1.433]	[0.840]	[0.987]	[0.779]	[1.198]	[0.935]	[1.142]
yr1850	0.942	11.68	0.751	0.942	0.156	0.156	2.724	12.51	3.078	1.510	16.15	1.176	3.852	16.75	3.814
	[3.849]	[2.280]	[3.526]	[3.849]	[3.739]	[2.467]	[3.236]	[2.462]	[3.257]	[3.437]	[2.453]	[3.641]	[2.872]	[2.417]	[3.885]
yr1875	7.736	29.78	7.367	7.736	6.217	6.217	9.903	30.39	10.54	8.545	34.13	7.924	11.48	34.30	11.41
	[5.272]	[2.459]	[5.089]	[5.272]	[5.447]	[3.856]	[5.181]	[2.811]	[5.305]	[4.828]	[2.699]	[5.456]	[4.243]	[2.781]	[6.065]
yr1900	15.99	50.77	15.42	15.99	13.62	13.62	20.04	50.91	21.00	16.84	54.49	15.89	21.30	54.27	21.20
	[7.585]	[2.889]	[7.276]	[7.585]	[7.805]	[5.399]	[8.035]	[3.180]	[8.107]	[6.952]	[2.762]	[7.930]	[6.336]	[2.857]	[9.004]
fpresenceXpostXtrend		1.166						1.116			1.006			0.960	
		[0.107]						[0.142]			[0.108]			[0.145]	
															
Observations	74	74	74	74	74	74	74	74	74	109	109	109	109	109	109
R-squared	0.905	0.972	0.905	0.905	0.905	0.905	0.846	0.967	0.846	0.889	0.966	0.888	0.842	0.959	0.842
Number of id	13	13	13	13	13	13	13	13	13	19	19	19	19	19	19
N States	13														
Robust standard errors in brackets															
