	(1)	(2)	(3)	(4)
	Col 1: W.Elbe	Col 2: W.Elbe	Col 3: All	Col 4: All
VARIABLES	wgt	unwgt	wgt	unwgt
				
fpresence1750	-0.491	-0.252	-0.488	-0.197
	[0.249]	[0.172]	[0.235]	[0.164]
fpresence1800	-0.247	-0.0425	-0.268	-0.0471
	[0.225]	[0.153]	[0.227]	[0.178]
fpresence1850	-0.160	0.0332	-0.221	-0.0235
	[0.250]	[0.153]	[0.249]	[0.181]
fpresence1875	0.402	0.354	0.266	0.252
	[0.326]	[0.295]	[0.303]	[0.299]
fpresence1900	0.634	0.529	0.503	0.506
	[0.408]	[0.401]	[0.376]	[0.423]
yr1700	-29.22	-30.72	-30.76	-30.99
	[4.247]	[4.730]	[3.623]	[3.535]
yr1750	-25.94	-27.23	-27.91	-28.22
	[3.391]	[4.392]	[3.144]	[3.314]
yr1800	-24.92	-25.84	-26.53	-26.08
	[3.600]	[3.610]	[3.043]	[2.905]
yr1850	-21.84	-23.11	-22.87	-22.68
	[2.862]	[3.701]	[2.213]	[2.527]
yr1875	-12.95	-13.72	-12.86	-12.71
	[1.373]	[1.894]	[1.168]	[1.376]
o.yr1900	-	-	-	-
				
				
Observations	74	74	109	109
R-squared	0.919	0.844	0.895	0.842
Number of id	13	13	19	19
Number of States	13	13	19	19
p-value joint signif after 1800	0.0532	0.463	0.0205	0.214
Robust standard errors in brackets				
