msacode	population
10180	"160,245"
10420	"694,960"
10500	"157,833"
10580	"825,875"
10740	"729,649"
10780	"145,035"
10900	"740,395"
11020	"129,144"
11100	"226,522"
11180	"79,981"
11260	"319,605"
11300	"133,358"
11340	"165,740"
11460	"322,895"
11500	"112,249"
11540	"201,602"
11700	"369,171"
12020	"166,079"
12060	"4,247,981"
12100	"252,552"
12220	"115,092"
12260	"499,684"
12420	"1,249,763"
12540	"661,645"
12580	"2,552,994"
12620	"144,919"
12700	"222,230"
12940	"705,973"
12980	"137,985"
13020	"110,157"
13140	"385,090"
13380	"166,814"
13460	"115,367"
13740	"138,904"
13780	"252,320"
13820	"1,052,238"
13900	"94,719"
13980	"151,272"
14020	"175,506"
14060	"150,433"
14260	"464,840"
14460	"4,391,344"
14460	"1,812,937"
14460	"1,465,396"
14460	"723,419"
14460	"389,592"
14500	"269,814"
14540	"104,166"
14600	"589,959"
14740	"231,969"
14860	"882,567"
15180	"335,227"
15260	"93,044"
15380	"1,170,111"
15500	"130,800"
15540	"198,889"
15940	"406,934"
15980	"440,888"
16020	"90,312"
16180	"52,457"
16220	"66,533"
16300	"237,230"
16580	"210,275"
16620	"309,635"
16700	"549,033"
16740	"1,330,448"
16820	"174,021"
16860	"476,531"
16940	"81,607"
16980	"9,098,316"
16980	"7,628,412"
16980	"675,971"
16980	"793,933"
17020	"203,171"
17140	"2,009,632"
17300	"232,000"
17420	"104,015"
17460	"2,148,143"
17660	"108,685"
17780	"184,885"
17820	"537,484"
17860	"145,666"
17900	"647,158"
17980	"281,768"
18020	"71,435"
18140	"1,612,694"
18580	"403,280"
18700	"78,153"
19060	"102,008"
19100	"5,161,544"
19100	"3,451,226"
19100	"1,710,318"
19140	"120,031"
19180	"83,919"
19260	"110,156"
19340	"376,019"
19380	"848,153"
19460	"145,867"
19500	"114,706"
19660	"443,343"
19740	"2,179,240"
19780	"481,394"
19820	"4,452,557"
19820	"2,061,162"
19820	"2,391,395"
20020	"130,861"
20100	"126,697"
20220	"89,143"
20260	"275,486"
20500	"426,493"
20740	"148,337"
20940	"142,361"
21060	"107,547"
21140	"182,791"
21300	"91,070"
21340	"679,622"
21500	"280,843"
21660	"322,959"
21780	"342,815"
21820	"82,840"
22020	"174,367"
22140	"113,801"
22180	"336,609"
22220	"347,045"
22380	"116,320"
22420	"436,141"
22500	"193,155"
22520	"142,950"
22540	"97,296"
22660	"251,494"
22900	"273,170"
23020	"170,498"
23060	"390,156"
23420	"799,407"
23460	"103,459"
23540	"232,392"
23580	"139,277"
24020	"124,345"
24140	"113,329"
24220	"97,478"
24300	"116,255"
24340	"740,482"
24500	"80,357"
24540	"180,926"
24580	"282,599"
24660	"643,430"
24780	"152,772"
24860	"559,940"
25060	"246,190"
25180	"222,771"
25260	"129,461"
25420	"509,074"
25500	"108,193"
25540	"1,148,618"
25620	"123,812"
25860	"341,851"
25980	"71,914"
26100	"238,314"
26180	"876,156"
26300	"88,068"
26380	"194,477"
26420	"4,715,407"
26580	"288,649"
26620	"342,376"
26820	"101,677"
26900	"1,525,104"
26980	"131,676"
27060	"96,501"
27100	"158,422"
27140	"497,197"
27180	"107,377"
27260	"1,122,750"
27340	"150,355"
27500	"152,307"
27620	"140,052"
27740	"181,607"
27780	"152,598"
27860	"107,762"
27900	"157,322"
28020	"314,866"
28100	"103,833"
28140	"1,836,038"
28420	"191,822"
28660	"330,714"
28700	"298,484"
28740	"177,749"
28940	"616,079"
29020	"101,541"
29100	"126,838"
29140	"178,541"
29180	"239,086"
29340	"193,568"
29420	"155,032"
29460	"483,924"
29540	"470,658"
29620	"447,728"
29700	"193,117"
29740	"174,682"
29820	"1,375,765"
29940	"99,962"
30020	"114,996"
30140	"120,327"
30300	"57,961"
30340	"103,793"
30460	"408,326"
30620	"108,473"
30700	"266,787"
30780	"610,518"
30860	"102,720"
30980	"194,042"
31020	"92,948"
31100	"12,365,627"
31100	"9,519,338"
31100	"2,846,289"
31140	"1,161,975"
31180	"249,700"
31340	"228,616"
31420	"222,368"
31460	"123,109"
31540	"501,774"
31700	"380,841"
31740	"108,999"
31860	"85,712"
31900	"128,852"
32580	"569,463"
32780	"181,269"
32820	"1,205,204"
32900	"210,554"
33100	"5,007,564"
33100	"1,623,018"
33100	"2,253,362"
33100	"1,131,184"
33140	"110,106"
33260	"116,009"
33340	"1,500,741"
33460	"2,968,806"
33540	"95,802"
33660	"399,843"
33700	"446,997"
33740	"170,053"
33780	"145,945"
33860	"346,528"
34060	"111,200"
34100	"123,081"
34580	"102,979"
34620	"118,769"
34740	"170,200"
34820	"196,629"
34900	"124,279"
34940	"251,377"
34980	"1,311,789"
35300	"824,008"
35380	"1,316,510"
35620	"18,323,002"
35620	"2,173,869"
35620	"2,753,913"
35620	"2,098,843"
35620	"11,296,377"
35660	"162,453"
35980	"259,088"
36100	"258,916"
36140	"102,326"
36220	"121,123"
36260	"442,656"
36420	"1,095,421"
36500	"207,355"
36540	"767,041"
36740	"1,644,561"
36780	"156,763"
36980	"109,875"
37100	"753,197"
