msacode	population
40140	"3,254,821"
40220	"288,309"
40340	"163,618"
40380	"1,037,831"
40420	"320,204"
40580	"143,026"
40660	"90,565"
40900	"1,796,857"
40980	"210,039"
41060	"167,392"
41100	"90,354"
41140	"122,336"
41180	"2,698,687"
41420	"347,214"
41500	"401,762"
41540	"109,391"
41620	"968,858"
41660	"105,781"
41700	"1,711,703"
41740	"2,813,833"
41780	"79,551"
41860	"4,123,740"
41860	"2,392,557"
41860	"1,731,183"
41940	"1,735,819"
42020	"246,681"
42060	"399,347"
42100	"255,602"
42140	"129,292"
42220	"458,614"
42340	"293,000"
42540	"560,625"
42660	"3,043,878"
42660	"2,343,058"
42660	"700,820"
42680	"112,947"
43100	"112,646"
43300	"110,595"
43340	"375,965"
43580	"143,053"
43620	"187,093"
43780	"316,663"
43900	"253,791"
44060	"417,939"
44100	"201,437"
44140	"680,014"
44180	"368,374"
44220	"144,742"
44300	"135,758"
44700	"563,598"
44940	"104,646"
45060	"650,154"
45220	"320,304"
45300	"2,395,997"
45460	"170,943"
45500	"129,749"
45780	"659,188"
45820	"224,551"
45940	"350,761"
46060	"843,746"
46140	"859,532"
46220	"192,034"
46340	"174,706"
46540	"299,896"
46660	"119,560"
46700	"394,542"
47020	"111,663"
47220	"146,438"
47260	"1,576,370"
47300	"368,021"
47380	"213,517"
47580	"110,765"
47900	"4,796,183"
47900	"1,068,618"
47900	"3,727,565"
47940	"163,706"
48140	"125,834"
48260	"132,008"
48300	"99,219"
48540	"153,172"
48620	"571,166"
48660	"151,524"
48700	"120,044"
48900	"274,532"
49020	"102,997"
49180	"421,961"
49340	"750,963"
49420	"222,581"
49620	"381,751"
49660	"602,964"
49700	"139,149"
49740	"160,026"
	
	
10020	"53,807"
10100	"39,827"
10140	"67,194"
10220	"35,143"
10300	"98,890"
10460	"62,298"
10540	"103,069"
10620	"58,100"
10660	"32,584"
10700	"82,231"
10760	"53,677"
10820	"32,821"
10860	"39,326"
10880	"105,665"
10940	"42,285"
10980	"31,314"
11060	"28,439"
11140	"36,966"
11220	"49,708"
11380	"13,004"
11420	"33,214"
11580	"32,209"
11620	"54,452"
11660	"23,546"
11740	"52,523"
11780	"102,728"
11820	"35,630"
11860	"16,774"
11900	"62,223"
11940	"49,015"
11980	"73,277"
12140	"40,285"
12180	"81,963"
12300	"117,114"
12380	"38,603"
12460	"28,240"
12660	"55,225"
12740	"58,039"
12780	"48,996"
12820	"31,021"
12860	"60,370"
12900	"34,233"
13060	"37,957"
13100	"22,993"
13180	"85,897"
13220	"79,220"
13260	"45,922"
13300	"32,359"
13340	"46,005"
13420	"39,650"
13500	"28,818"
13540	"36,994"
13620	"39,570"
13660	"40,553"
13700	"33,627"
13860	"17,945"
13940	"41,735"
14100	"82,387"
14140	"107,578"
14180	"51,979"
14220	"43,926"
14300	"31,242"
14340	"26,224"
14380	"42,695"
14420	"23,857"
14580	"67,831"
14620	"45,936"
14660	"82,249"
14700	"68,361"
14780	"30,373"
14820	"29,334"
14940	"42,745"
15020	"33,166"
15060	"21,137"
15100	"28,220"
15140	"19,797"
15220	"37,674"
15340	"46,966"
15420	"41,590"
15460	"50,564"
15580	"34,606"
15620	"44,962"
15660	"44,104"
15700	"30,674"
15740	"40,792"
15780	"34,534"
15820	"22,927"
15860	"46,145"
15900	"38,250"
16060	"59,612"
16100	"51,658"
16260	"33,779"
16340	"38,127"
16380	"40,924"
16420	"31,839"
16460	"41,691"
16500	"68,600"
16540	"129,313"
16660	"64,449"
16900	"34,068"
17060	"73,345"
17200	"40,458"
17220	"92,144"
17260	"30,622"
17340	"58,309"
17380	"40,633"
17500	"36,210"
17540	"50,149"
17580	"45,044"
17700	"36,252"
17740	"45,787"
17940	"69,498"
18060	"61,586"
18100	"31,662"
18180	"136,225"
18220	"25,588"
18260	"93,417"
18300	"62,779"
18340	"35,865"
18380	"21,996"
18420	"34,558"
18460	"35,902"
18500	"98,726"
18620	"45,124"
18660	"48,599"
18740	"36,655"
18820	"37,629"
18860	"27,507"
18900	"46,802"
18940	"58,861"
18980	"77,483"
19020	"34,262"
19220	"51,058"
19300	"140,415"
19540	"33,625"
19580	"39,500"
19620	"44,856"
19700	"25,016"
19760	"32,986"
19860	"23,524"
19900	"30,722"
19940	"36,062"
19980	"32,458"
20060	"45,022"
20140	"53,434"
20180	"83,382"
20300	"20,121"
20340	"43,182"
20380	"91,025"
20420	"43,941"
20460	"36,534"
20540	"37,279"
20580	"47,297"
20620	"112,075"
20660	"33,812"
20700	"138,687"
20780	"49,471"
20820	"34,264"
20900	"41,188"
20980	"45,629"
21020	"53,150"
21120	"19,799"
21220	"46,942"
21260	"33,362"
21380	"38,965"
21420	"57,813"
21460	"92,744"
21540	"38,520"
21580	"41,190"
21640	"31,636"
21700	"126,518"
21740	"19,742"
21860	"21,802"
21900	"56,598"
21980	"23,982"
22060	"56,665"
22100	"55,641"
22260	"57,159"
22280	"34,501"
22300	"71,295"
22340	"27,415"
22580	"62,899"
22620	"29,329"
22700	"40,235"
22780	"41,165"
22800	"45,468"
22820	"27,171"
22840	"64,452"
22860	"52,531"
22980	"23,668"
23140	"33,866"
23180	"66,798"
23240	"20,814"
23300	"48,979"
23340	"36,160"
23380	"61,792"
23500	"52,537"
23620	"36,363"
23660	"74,571"
23700	"74,798"
23780	"40,523"
23820	"41,259"
23860	"55,797"
23900	"91,292"
23940	"33,698"
23980	"48,070"
24100	"55,073"
24180	"47,909"
24260	"68,305"
24380	"25,595"
24420	"75,726"
24460	"28,205"
24620	"62,909"
24700	"24,555"
24740	"62,977"
24820	"53,309"
24900	"48,716"
24940	"66,271"
24980	"23,263"
25100	"20,107"
25220	"100,588"
25300	"37,915"
25340	"51,910"
25380	"26,733"
25460	"42,556"
25580	"38,190"
25660	"16,673"
25700	"27,507"
25720	"15,215"
25740	"65,765"
25760	"26,445"
25780	"42,954"
25820	"18,561"
25900	"148,677"
25940	"141,615"
26020	"55,511"
26140	"118,085"
26220	"20,411"
26260	"33,542"
26340	"38,317"
26460	"63,094"
26480	"48,152"
26500	"45,586"
26540	"38,075"
26660	"61,758"
26700	"17,023"
26740	"64,790"
26780	"34,898"
26860	"89,605"
26940	"34,369"
27020	"32,560"
27220	"24,250"
27300	"42,153"
27380	"46,659"
27420	"21,908"
27460	"139,750"
27540	"52,511"
27660	"31,435"
27700	"26,565"
27940	"30,711"
27980	"128,094"
28060	"74,471"
28180	"58,463"
28260	"49,141"
28300	"73,825"
28340	"46,275"
28380	"33,155"
28500	"43,653"
28540	"14,070"
28580	"79,589"
28620	"29,967"
28780	"31,963"
28820	"59,648"
28860	"29,147"
28900	"63,775"
28980	"13,913"
29060	"56,325"
29220	"39,854"
29260	"24,530"
29300	"58,779"
29380	"56,513"
29500	"14,985"
29580	"61,351"
29660	"32,014"
29780	"30,126"
29860	"83,107"
29900	"35,998"
29980	"39,926"
30060	"32,513"
30100	"167,387"
30220	"22,716"
30260	"41,624"
30280	"26,767"
30380	"46,486"
30420	"26,508"
30500	"86,211"
30580	"22,510"
30660	"31,183"
30740	"63,780"
30820	"37,914"
30900	"40,930"
30940	"52,715"
31060	"18,343"
31260	"80,130"
31300	"123,339"
31380	"32,913"
31500	"31,705"
31580	"46,519"
31620	"25,603"
31660	"51,134"
31820	"82,887"
31940	"68,710"
31980	"73,403"
32020	"66,217"
32060	"61,296"
32100	"64,634"
32140	"25,425"
32180	"23,756"
32220	"62,110"
32260	"39,311"
32270	"75,555"
32280	"34,895"
32300	"73,346"
32340	"21,912"
32380	"54,356"
32460	"37,028"
32500	"30,892"
32540	"43,953"
32620	"52,539"
32660	"38,276"
32700	"29,554"
32740	"90,366"
32860	"39,858"
32940	"106,569"
32980	"29,641"
33020	"25,853"
33060	"33,194"
33180	"30,060"
33220	"82,874"
33300	"54,776"
33380	"41,831"
33420	"27,026"
33500	"67,392"
33580	"21,880"
33620	"24,663"
33820	"33,647"
33940	"33,432"
33980	"59,383"
34020	"53,500"
34140	"34,935"
34180	"74,698"
34220	"42,053"
34260	"38,386"
34300	"29,130"
34340	"71,219"
34380	"63,351"
34420	"28,118"
34460	"40,195"
34500	"48,666"
34540	"54,500"
34660	"34,177"
34700	"53,905"
34780	"69,451"
34860	"59,203"
35020	"54,587"
35060	"39,080"
35100	"114,751"
35140	"36,108"
35220	"48,508"
35260	"94,643"
35340	"73,266"
35420	"90,914"
35460	"33,565"
35500	"37,213"
35580	"26,911"
35700	"38,381"
35740	"49,538"
35820	"35,939"
35860	"27,554"
35900	"65,632"
35940	"59,487"
36020	"71,558"
36060	"47,579"
36180	"46,543"
36300	"111,931"
36340	"57,565"
36380	"35,910"
36460	"83,955"
36580	"61,676"
36620	"52,193"
36660	"87,700"
36700	"91,582"
36820	"22,335"
36860	"153,098"
36900	"36,051"
36940	"33,680"
37020	"71,687"
37060	"38,744"
37140	"98,765"
37220	"32,485"
37260	"70,423"
37300	"55,109"
37420	"23,631"
37500	"37,331"
37540	"31,115"
37580	"48,499"
37660	"22,835"
37740	"51,335"
37780	"13,137"
37800	"32,052"
37820	"81,543"
37940	"36,082"
38020	"54,501"
38100	"48,621"
38180	"19,253"
38200	"23,388"
38260	"38,242"
38380	"36,602"
38420	"49,597"
38460	"79,894"
38500	"45,128"
38580	"57,026"
38620	"48,080"
38700	"39,678"
38740	"40,867"
38780	"18,018"
38820	"64,525"
39020	"79,195"
39060	"150,336"
39220	"20,422"
39260	"19,182"
39420	"40,740"
39500	"78,771"
39700	"20,082"
39780	"56,039"
39860	"44,127"
39940	"39,286"
39980	"71,097"
40080	"87,454"
40100	"53,597"
40180	"35,804"
40260	"79,456"
40300	"51,032"
40460	"46,564"
40500	"39,618"
40540	"37,613"
40620	"39,825"
40700	"100,399"
40740	"61,382"
40760	"19,411"
40780	"75,608"
40820	"57,906"
40860	"63,400"
40940	"42,036"
41220	"43,664"
41260	"35,112"
41460	"59,760"
41580	"130,340"
41820	"49,040"
42300	"38,543"
42380	"62,761"
42420	"37,770"
42460	"53,926"
42500	"22,960"
42580	"156,638"
42620	"67,165"
42700	"87,366"
42740	"39,403"
42780	"37,546"
42820	"46,365"
42860	"66,215"
42900	"33,342"
42940	"71,170"
42980	"41,335"
43060	"65,521"
43140	"96,287"
43180	"37,586"
43220	"49,405"
43260	"26,560"
43320	"97,470"
43380	"47,910"
43420	"117,755"
43460	"40,422"
43500	"31,002"
43540	"23,548"
43660	"16,361"
43700	"56,217"
43740	"80,023"
43860	"74,769"
43940	"21,802"
43980	"17,372"
44020	"16,424"
44260	"42,902"
44340	"55,983"
44380	"122,660"
44420	"108,988"
44500	"33,001"
44540	"20,504"
44580	"60,653"
44620	"67,182"
44660	"68,190"
44740	"20,411"
44780	"62,422"
44860	"31,960"
44900	"25,470"
44980	"94,556"
45000	"33,828"
45020	"15,802"
45140	"42,521"
45180	"80,321"
45260	"13,728"
45340	"29,979"
45380	"35,372"
45520	"23,791"
45540	"53,345"
45580	"27,597"
45620	"42,737"
45640	"147,246"
45660	"58,683"
45700	"38,407"
45740	"25,435"
45860	"182,193"
45900	"131,342"
45980	"29,605"
46020	"92,033"
46100	"93,024"
46180	"125,251"
46260	"24,105"
46300	"82,626"
46380	"86,265"
46420	"29,881"
46460	"40,202"
46500	"38,890"
46620	"25,926"
46740	"36,583"
46780	"29,659"
46820	"13,537"
46860	"25,224"
46900	"14,676"
46980	"49,644"
47080	"34,337"
47180	"39,256"
47340	"34,960"
47420	"25,136"
47460	"55,180"
47500	"38,264"
47540	"46,611"
47620	"43,863"
47660	"48,258"
47700	"74,057"
47780	"29,820"
47820	"44,958"
47920	"28,433"
47980	"31,437"
48020	"74,021"
48060	"111,738"
48100	"26,938"
48180	"51,119"
48460	"37,238"
48500	"21,979"
48580	"93,759"
48740	"109,091"
48780	"19,761"
48820	"41,203"
48940	"40,543"
48980	"73,814"
49060	"36,291"
49100	"49,985"
49260	"18,486"
49300	"111,564"
49380	"20,832"
49460	"21,652"
49540	"28,149"
49780	"84,585"
