msa	msacode	year	quarter	index_msa
"Abilene, TX"	10180	2007	3	165.74
"Abilene, TX"	10180	2007	4	162.4
"Akron, OH"	10420	1975	1	-
"Akron, OH"	10420	1975	2	-
"Akron, OH"	10420	1975	3	-
"Akron, OH"	10420	1975	4	-
"Akron, OH"	10420	1976	1	-
"Akron, OH"	10420	1976	2	-
"Akron, OH"	10420	1976	3	-
"Akron, OH"	10420	1976	4	-
"Akron, OH"	10420	1977	1	40.57
"Akron, OH"	10420	1977	2	42.05
"Akron, OH"	10420	1977	3	44.27
"Akron, OH"	10420	1977	4	44.83
"Akron, OH"	10420	1978	1	47.38
"Akron, OH"	10420	1978	2	49.4
"Akron, OH"	10420	1978	3	49.39
"Akron, OH"	10420	1978	4	53.42
"Akron, OH"	10420	1979	1	53.09
"Akron, OH"	10420	1979	2	54.4
"Akron, OH"	10420	1979	3	56.36
"Akron, OH"	10420	1979	4	55.64
"Akron, OH"	10420	1980	1	55.59
"Akron, OH"	10420	1980	2	56.02
"Akron, OH"	10420	1980	3	56.05
"Akron, OH"	10420	1980	4	57.05
"Akron, OH"	10420	1981	1	56.46
"Akron, OH"	10420	1981	2	56.52
"Akron, OH"	10420	1981	3	57.08
"Akron, OH"	10420	1981	4	57.29
"Akron, OH"	10420	1982	1	55.46
"Akron, OH"	10420	1982	2	57.13
"Akron, OH"	10420	1982	3	55.56
"Akron, OH"	10420	1982	4	55.64
"Akron, OH"	10420	1983	1	56.84
"Akron, OH"	10420	1983	2	58.33
"Akron, OH"	10420	1983	3	58.12
"Akron, OH"	10420	1983	4	57.41
"Akron, OH"	10420	1984	1	56.82
"Akron, OH"	10420	1984	2	57.82
"Akron, OH"	10420	1984	3	56.97
"Akron, OH"	10420	1984	4	57.75
"Akron, OH"	10420	1985	1	58.72
"Akron, OH"	10420	1985	2	59.24
"Akron, OH"	10420	1985	3	59.64
"Akron, OH"	10420	1985	4	59.96
"Akron, OH"	10420	1986	1	61.78
"Akron, OH"	10420	1986	2	62.04
"Akron, OH"	10420	1986	3	63.48
"Akron, OH"	10420	1986	4	63.95
"Akron, OH"	10420	1987	1	65.11
"Akron, OH"	10420	1987	2	66.94
"Akron, OH"	10420	1987	3	67.87
"Akron, OH"	10420	1987	4	68.21
"Akron, OH"	10420	1988	1	69.61
"Akron, OH"	10420	1988	2	70.83
"Akron, OH"	10420	1988	3	71.24
"Akron, OH"	10420	1988	4	71.94
"Akron, OH"	10420	1989	1	71.89
"Akron, OH"	10420	1989	2	73.9
"Akron, OH"	10420	1989	3	77.22
"Akron, OH"	10420	1989	4	76.95
"Akron, OH"	10420	1990	1	79.55
"Akron, OH"	10420	1990	2	78.6
"Akron, OH"	10420	1990	3	80.69
"Akron, OH"	10420	1990	4	80.73
"Akron, OH"	10420	1991	1	82.02
"Akron, OH"	10420	1991	2	83.16
"Akron, OH"	10420	1991	3	84.17
"Akron, OH"	10420	1991	4	85
"Akron, OH"	10420	1992	1	87.09
"Akron, OH"	10420	1992	2	87.43
"Akron, OH"	10420	1992	3	89.12
