STATE	NDMTCODE	NAME	COUNTY	STATEABL	DUSTBOWA	PCPUBWOR	PCAAA	PCRELIEF	PCNDLOAN	PCNDINS	POP30T
36	190	CAVALIER	190	ND	0	3.872360405	32.69176859	6.170010535	18.62154734	0.854665384	14.554
36	210	DICKEY	210	ND	0	5.130765223	28.82870277	19.09130888	20.67236677	0.389169808	10.877
36	230	DIVIDE	230	ND	0	3.688356164	32.79111665	20.76158849	36.11059914	0.662432545	9.636
36	250	DUNN	250	ND	0	3.267231166	30.45358562	14.05805283	24.04336191	0.3087811	9.566
36	270	EDDY	270	ND	0	9.732587457	22.91862591	16.39626011	18.70585145	0.677119445	6.346
36	290	EMMONS	290	ND	0	3.762880672	33.72721585	18.0279538	26.19782359	0.201668405	12.467
36	310	FOSTER	310	ND	0	14.88042395	25.16795215	18.30256047	22.18567606	0.353848575	6.353
36	330	GOLDEN VALLEY	330	ND	0	19.67895843	47.14129064	10.23588873	22.49746078	0.279330422	4.122
36	350	GRAND FORKS	350	ND	0	9.784187633	11.9809488	13.72837652	16.78684858	2.470165227	31.956
36	370	GRANT	370	ND	0	2.485379251	33.73832643	16.17133741	30.55745017	0.22103809	10.134
36	390	GRIGGS	390	ND	0	4.722020613	26.19448396	9.617578749	20.4731214	0.472724633	6.889
36	410	HETTINGER	410	ND	0	6.093565257	44.85891314	11.8673829	29.10692739	0.130286494	8.796
36	430	KIDDER	430	ND	0	7.751297057	25.34356867	16.37822189	17.40553688	0.30327481	8.031
36	450	LA MOURE	450	ND	0	3.82660415	34.38140141	11.7045961	25.75852508	0.283945472	11.517
36	470	LOGAN	470	ND	0	1.817076689	30.25293609	13.35062018	20.60318952	0.40200272	8.089
36	490	MCHENRY	490	ND	0	7.221139107	25.76453138	12.87283287	18.81342919	0.273981475	15.439
36	510	MCINTOSH	510	ND	0	3.41942972	30.87013824	20.11149222	25.68144684	0.622741919	9.621
36	530	MCKENZIE	530	ND	0	11.31158375	35.5629416	21.57276754	27.41632163	0.496508394	9.709
36	550	MCLEAN	550	ND	0	8.59182369	29.89808237	13.81923369	27.69449169	0.442821411	17.991
36	570	MERCER	570	ND	0	3.083403391	23.52786885	16.18444374	16.57766569	0.540416141	9.516
36	590	MORTON	590	ND	0	7.862659269	21.20795032	23.43201676	19.00832358	1.577482567	19.647
36	610	MOUNTRAIL	610	ND	0	6.456573637	24.78669522	19.65950482	33.87972042	0.506482575	13.544
36	630	NELSON	630	ND	0	8.609167238	27.86852886	10.9984645	20.31564573	0.188062335	10.203
36	650	OLIVER	650	ND	0	3.802792116	31.7017832	11.68148756	22.64839668	0.04317222	4.262
36	670	PEMBINA	670	ND	0	8.374839059	21.67664159	7.434528246	15.18370039	1.115714576	14.757
36	690	PIERCE	690	ND	0	6.068400558	38.87595327	10.74166116	22.20603923	0.75155389	9.074
36	710	RAMSEY	710	ND	0	5.223982689	27.93809993	10.8040754	19.72092871	0.612823037	16.252
36	730	RANSOM	730	ND	0	4.668745637	22.28937449	12.81695954	20.67112204	1.097423291	10.983
36	750	RENVILLE	750	ND	0	4.509614943	33.0929368	16.91089541	38.70769654	0.912487953	7.263
36	770	RICHLAND	770	ND	0	4.329969535	21.24740099	11.48986894	17.3067149	1.393535796	21.008
36	790	ROLETTE	790	ND	0	10.85399628	18.17410781	14.87154585	14.14211896	0.560669145	10.76
36	810	SARGENT	810	ND	0	2.815157382	30.63551301	25.25648885	27.09659425	0.217186492	9.298
36	830	SHERIDAN	830	ND	0	2.025114155	37.91599078	12.90171346	22.71594557	0.256828971	7.373
36	850	SIOUX	850	ND	0	32.65816798	22.4087476	21.59074746	25.86535808	0.098869213	4.687
36	870	SLOPE	870	ND	0	10.11293173	44.01691566	17.87457831	36.62271486	0.01146988	4.15
36	890	STARK	890	ND	0	13.88766841	28.4245502	19.41242938	23.05674924	1.181734029	15.34
36	910	STEELE	910	ND	0	3.626601645	29.77917384	12.76768981	23.18227194	0.319248422	6.972
36	930	STUTSMAN	930	ND	0	8.707037037	23.2619387	12.10100255	17.27137165	1.310911877	26.1
36	950	TOWNER	950	ND	0	4.750029787	42.61136662	8.000059573	25.62354343	0.318098415	8.393
36	970	TRAILL	970	ND	0	8.942261905	20.24853968	4.409378307	16.53413757	1.008031746	12.6
36	990	WALSH	990	ND	0	8.82883557	19.47172145	6.446168171	14.6161986	0.713443408	20.047
36	1010	WARD	1010	ND	0	7.842252781	14.3320475	18.48244883	18.91546666	1.98052207	33.597
36	1030	WELLS	1030	ND	0	8.956592648	35.60243884	14.69439217	18.38287793	0.348332706	13.285
36	1050	WILLIAMS	1050	ND	0	6.822670008	22.10147803	26.75842582	26.49154605	2.313547793	19.553
37	30	AURORA	30	SD	0	5.800112061	27.97492646	26.28976981	27.89750198	0.202633422	7.139
37	50	BEADLE	50	SD	0	5.256149001	15.89942837	22.52943957	22.81359689	2.035493302	22.917
