	(1)	(2)	(3)	(4)
	UNCONSTRAINED	CONSTRAINED	UNCONSTRAINED	CONSTRAINED
	2005	2005	2005	2005
	sigma=3	sigma=3	sigma=3	sigma=3
			section dummies	section dummies
VARIABLES	dif_ln_imp_5	dif_ln_imp_5	dif_ln_imp_5	dif_ln_imp_5
				
unc_pre	0.743***	0.791***	0.716***	0.734***
	[0.154]	[0.150]	[0.186]	[0.184]
dif_advalorem_mfn_5	-9.967**	-4.340***	-7.356	-4.250***
	[4.478]	[0.676]	[5.060]	[0.677]
dif_ln_tcost_5	-2.806***	-2.893***	-2.795***	-2.833***
	[0.455]	[0.450]	[0.456]	[0.451]
2.section			0.351	0.345
			[0.248]	[0.247]
3.section			0.0305	0.0282
			[0.440]	[0.440]
4.section			0.813***	0.811***
			[0.281]	[0.280]
5.section			0.449	0.449
			[0.341]	[0.341]
6.section			0.549**	0.553**
			[0.222]	[0.221]
7.section			1.035***	1.031***
			[0.254]	[0.254]
8.section			0.244	0.241
			[0.280]	[0.280]
9.section			1.270***	1.265***
			[0.338]	[0.338]
10.section			0.639**	0.666**
			[0.281]	[0.277]
11.section			0.646***	0.669***
			[0.233]	[0.230]
12.section			-0.133	-0.139
			[0.235]	[0.235]
13.section			0.692***	0.691***
			[0.263]	[0.263]
14.section			0.288	0.282
			[0.333]	[0.333]
15.section			0.645***	0.655***
			[0.235]	[0.235]
16.section			0.619***	0.612***
			[0.222]	[0.222]
17.section			0.912***	0.908***
			[0.296]	[0.296]
18.section			0.210	0.202
			[0.247]	[0.247]
19.section			0.860	0.853
			[0.535]	[0.534]
20.section			0.0682	0.0599
			[0.238]	[0.238]
21.section			0.497*	0.501*
			[0.275]	[0.275]
Constant	0.851***	0.843***	0.296	0.292
	[0.0853]	[0.0850]	[0.201]	[0.201]
				
Observations	3,211	3,211	3,211	3,211
R-squared	0.033		0.053	
Restriction (p-val)	0.204	1	0.536	1
Robust standard errors in brackets				
*** p<0.01, ** p<0.05, * p<0.1				
