wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"ifmib","Sep1994","4","","4","","","","","","","3","","","","","","","3","","","","","",""
"ifmib","Oct1994","4","","4","","","","","","","3","","","","","","","3","","","","","",""
"ifmib","Nov1994","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Dec1994","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Feb1995","3","","3","","","","","","","3","","","","","","","3","","","","","",""
"ifmib","Mar1995","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Jun1995","26","","26","","","","","","","14","","","","","","","10","","","","","",""
"ifmib","Jul1995","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ifmib","Oct1995","5","","4","","","1","","","","2","","","1","","","","2","","","1","","",""
"ifmib","Dec1995","8","","8","","","","","","","4","","","","","","","3","","","","","",""
"ifmib","Jan1996","22","1","22","","","","","","","10","","","","","","","6","","","","","",""
"ifmib","Feb1996","24","","24","","","","","","","5","","","","","","","5","","","","","",""
"ifmib","Mar1996","7","","7","","","","","","","4","","","","","","","3","","","","","",""
"ifmib","Apr1996","11","1","10","","","","","1","","8","","","","","1","","7","","","","","1",""
"ifmib","May1996","10","","10","","","","","","","5","","","","","","","5","","","","","",""
"ifmib","Jun1996","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ifmib","Aug1996","5","","5","","","","","","","3","","","","","","","3","","","","","",""
"ifmib","Sep1996","4","","4","","","","","","","3","","","","","","","1","","","","","",""
"ifmib","Oct1996","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Nov1996","15","","15","","","","","","","8","","","","","","","7","","","","","",""
"ifmib","Jan1997","8","","8","","","","","","","6","","","","","","","3","","","","","",""
"ifmib","Feb1997","1","1","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Mar1997","3","","3","","","","","","","2","","","","","","","2","","","","","",""
"ifmib","May1997","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Dec1998","4","","4","","","","","","","3","","","","","","","3","","","","","",""
"ifmib","Jan1999","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Feb1999","7","","6","1","","","","","","5","1","","","","","","5","1","","","","",""
"ifmib","Apr1999","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Jun1999","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Aug1999","3","","3","","","","","","","3","","","","","","","3","","","","","",""
"ifmib","Sep1999","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Nov1999","5","1","4","","","1","","","","2","","","1","","","","2","","","1","","",""
"ifmib","Dec1999","9","","9","","","","","","","5","","","","","","","5","","","","","",""
"ifmib","Jan2000","4","","3","1","","","","","","3","1","","","","","","3","1","","","","",""
"ifmib","Mar2000","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Sep2000","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ifmib","Oct2000","7","2","5","2","","","","","","4","1","","","","","","4","1","","","","",""
"ifmib","Feb2001","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ifmib","Mar2001","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Jul2001","4","","4","","","","","","","4","","","","","","","4","","","","","",""
"ifmib","Aug2001","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ifmib","Oct2001","7","","7","","","","","","","4","","","","","","","4","","","","","",""
"ifmib","Feb2002","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ifmib","Aug2002","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ifmib","Oct2002","6","1","5","","","1","","","","3","","","1","","","","3","","","1","","",""
"ifmib","May2003","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ifmib","Dec2003","4","2","2","","","","","2","","2","","","","","1","","2","","","","","1",""
"iiir","Jun1993","3","1","","","","1","2","","","","","","1","1","","","","","","1","1","",""
"iiir","Jul1993","2","1","","","","2","","","","","","","2","","","","","","","2","","",""
"iiir","Sep1993","1","1","","","","1","","","","","","","1","","","","","","","1","","",""
"iiir","Oct1993","2","","","2","","","","","","","1","","","","","","","1","","","","",""
"iiir","Nov1993","7","1","2","2","","3","","","","2","1","","2","","","","2","1","","2","","",""
"iiir","Feb1994","9","6","2","","","1","1","5","","2","","","1","1","1","","2","","","1","1","1",""
"iiir","Mar1994","12","7","3","1","","3","4","1","","2","1","","1","1","1","","1","1","","1","1","1",""
"iiir","Apr1994","4","","1","","","1","2","","","1","","","1","1","","","1","","","1","1","",""
"iiir","May1994","12","5","4","","","6","2","","","2","","","4","1","","","2","","","4","1","",""
"iiir","Jul1994","2","","1","","","1","","","","1","","","1","","","","1","","","1","","",""
"iiir","Aug1994","4","2","3","","","","1","","","3","","","","1","","","2","","","","1","",""
"imap","Apr1993","1","","","","","1","","","","","","","1","","","","","","","1","","",""
"imap","May1993","11","","4","","","7","","","","2","","","6","","","","2","","","3","","",""
"imap","Jun1993","12","","3","","","9","","","","3","","","5","","","","3","","","3","","",""
"imap","Jul1993","79","7","16","8","","52","","","3","4","1","","12","","","1","3","1","","6","","","1"
"imap","Aug1993","64","15","18","4","","31","1","7","3","3","1","","10","1","1","2","3","1","","5","1","1","1"
"imap","Sep1993","6","","","","","5","","","1","","","","4","","","1","","","","4","","","1"
"imap","Oct1993","68","4","8","","2","51","","2","5","4","","1","9","","1","1","4","","1","3","","1","1"
"imap","Nov1993","38","","20","","","17","","","1","4","","","7","","","1","4","","","5","","","1"
"imap","Dec1993","20","2","6","","2","12","","","","4","","1","7","","","","3","","1","3","","",""
"imap","Feb1994","152","8","71","","","70","","1","10","10","","","16","","1","1","9","","","10","","1","1"
"imap","Mar1994","48","7","16","","","26","","5","1","6","","","8","","1","1","6","","","6","","1","1"
"imap","Apr1994","33","4","14","","","18","","1","","7","","","5","","1","","6","","","2","","1",""
"imap","May1994","15","","2","","","12","1","","","2","","","4","1","","","2","","","2","1","",""
"imap","Jun1994","77","7","38","","","33","3","3","","13","","","11","2","2","","12","","","7","2","2",""
"imap","Jul1994","41","1","7","","","33","","1","","6","","","10","","1","","6","","","5","","1",""
"imap","Aug1994","23","2","7","","","15","","1","","6","","","7","","1","","5","","","6","","1",""
"imap","Sep1994","44","1","16","","","27","","1","","7","","","6","","1","","7","","","4","","1",""
"imap","Oct1994","78","12","24","","","46","","7","1","6","","","5","","2","1","6","","","3","","1","1"
"imap","Nov1994","18","5","4","","","9","","5","","2","","","4","","2","","2","","","2","","1",""
"imap","Dec1994","4","","1","","","2","","","1","1","","","2","","","1","1","","","2","","","1"
"imap","Jan1995","6","","","","","5","","","1","","","","4","","","1","","","","3","","","1"
"imap","Feb1995","1","","","","","1","","","","","","","1","","","","","","","1","","",""
"imap","Mar1995","12","2","5","","","5","","2","","3","","","5","","1","","3","","","4","","1",""
"imap","Apr1995","12","2","2","","","10","","","","2","","","3","","","","2","","","3","","",""
"imap","May1995","13","2","3","","1","9","","","","2","","1","3","","","","2","","1","3","","",""
"imap","Jun1995","24","1","11","","","10","3","","","5","","","6","2","","","5","","","4","2","",""
"imap","Jul1995","50","1","27","","","22","","","1","9","","","5","","","1","9","","","4","","","1"
"imap","Aug1995","6","","1","","","3","","","2","1","","","3","","","1","1","","","3","","","1"
"imap","Sep1995","23","4","6","","","14","","2","1","5","","","4","","2","1","5","","","3","","2","1"
"imap","Oct1995","25","1","10","1","","13","","1","","7","1","","6","","1","","7","1","","3","","1",""
"imap","Nov1995","33","1","10","5","","17","","","1","7","1","","6","","","1","7","1","","4","","","1"
"imap","Dec1995","27","1","10","3","","13","","","1","6","1","","6","","","1","5","1","","3","","","1"
"imap","Jan1996","3","","","","","3","","","","","","","2","","","","","","","2","","",""
"imap","Feb1996","78","8","40","1","","33","","1","3","15","1","","10","","1","1","14","1","","5","","1","1"
"imap","Mar1996","10","1","6","","","4","","","","3","","","2","","","","3","","","2","","",""
"imap","Apr1996","36","3","24","","","12","","","","9","","","4","","","","9","","","2","","",""
"imap","May1996","90","7","62","","","25","","1","2","22","","","8","","1","2","18","","","5","","1","1"
"imap","Jun1996","30","","11","","1","18","","","","8","","1","8","","","","8","","1","5","","",""
"imap","Jul1996","3","","1","","","2","","","","1","","","2","","","","1","","","1","","",""
"imap","Aug1996","12","1","9","","","3","","","","8","","","2","","","","8","","","2","","",""
"imap","Sep1996","86","","59","2","2","22","1","","","18","2","1","8","1","","","16","2","1","4","1","",""
"imap","Oct1996","140","15","84","5","1","40","7","2","1","29","2","1","13","1","1","1","18","2","1","7","1","1","1"
"imap","Nov1996","35","6","17","","3","11","4","","","11","","2","4","1","","","9","","2","2","1","",""
"imap","Dec1996","33","1","21","","1","10","1","","","11","","1","5","1","","","9","","1","2","1","",""
"imap","Jan1997","83","2","52","","","31","","","","14","","","5","","","","11","","","3","","",""
"imap","Feb1997","122","23","76","2","","27","11","2","4","19","1","","7","2","2","1","14","1","","4","2","2","1"
"imap","Mar1997","326","85","208","1","","46","62","","9","29","1","","7","1","","1","23","1","","3","1","","1"
"imap","Apr1997","96","12","60","","","24","9","","3","20","","","7","1","","1","15","","","6","1","","1"
"imap","May1997","362","125","188","1","","79","83","2","9","22","1","","9","1","1","2","17","1","","6","1","1","1"
"imap","Jun1997","60","6","36","2","","17","2","","3","18","2","","6","1","","2","13","2","","5","1","","1"
"imap","Jul1997","44","4","31","1","","10","2","","","13","1","","3","1","","","8","1","","3","1","",""
"imap","Aug1997","90","7","52","","","29","","3","6","20","","","5","","1","2","15","","","5","","1","1"
"imap","Sep1997","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"imapext","Apr1998","8","","5","","1","","","","2","5","","1","","","","1","3","","1","","","","1"
"imapext","Jul1998","1","","","","","1","","","","","","","1","","","","","","","1","","",""
"imapext","Aug1998","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"imapext","Mar1999","7","1","6","","","1","","","","2","","","1","","","","2","","","1","","",""
"imapext","Jun1999","28","","23","","","5","","","","11","","","1","","","","10","","","1","","",""
"imapext","Jul1999","23","","22","","","1","","","","8","","","1","","","","8","","","1","","",""
"imapext","Aug1999","24","2","15","","","9","","","","6","","","3","","","","6","","","2","","",""
"imapext","Sep1999","18","","12","","","6","","","","6","","","1","","","","6","","","1","","",""
"imapext","Oct1999","22","","15","","","5","","","2","7","","","3","","","1","6","","","2","","","1"
"imapext","Nov1999","2","","1","","","1","","","","1","","","1","","","","1","","","1","","",""
"imapext","Feb2000","17","","9","2","1","5","","","","7","1","1","1","","","","6","1","1","1","","",""
"imapext","Mar2000","18","1","9","","2","6","","1","","5","","1","2","","1","","5","","1","2","","1",""
"imapext","Apr2000","4","","4","","","","","","","3","","","","","","","3","","","","","",""
"imapext","May2000","22","1","9","1","","11","","1","","4","1","","2","","1","","4","1","","2","","1",""
"imapext","Jun2000","18","","11","","","7","","","","8","","","1","","","","8","","","1","","",""
