wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"ipsec","Apr1999","131","25","94","8","4","8","5","10","2","50","3","2","7","3","6","2","44","3","2","7","3","6","1"
"ipsec","May1999","142","10","126","4","4","5","1","2","","49","3","2","3","1","1","","41","3","2","2","1","1",""
"ipsec","Jun1999","359","41","300","11","7","16","10","12","3","78","5","5","7","4","6","1","54","4","5","7","4","6","1"
"ipsec","Jul1999","249","26","199","21","3","13","3","8","2","64","6","3","8","2","4","1","51","5","3","6","2","4","1"
"ipsec","Aug1999","169","24","135","4","5","16","7","2","","46","1","3","6","3","2","","34","","3","5","2","2",""
"ipsec","Sep1999","79","11","72","1","","","3","3","","33","1","","","1","2","","27","1","","","1","2",""
"ipsec","Oct1999","233","28","187","5","12","12","8","7","2","66","3","2","7","4","3","2","41","3","2","7","3","3","1"
"ipsec","Nov1999","230","34","189","11","4","12","10","3","1","68","4","1","6","4","3","1","51","4","1","6","4","3","1"
"ipsec","Dec1999","323","65","263","13","6","9","20","9","3","50","5","2","3","3","5","1","40","5","2","3","3","5","1"
"ipsec","Jan2000","162","11","129","12","5","10","1","2","3","52","4","2","8","1","2","1","37","4","2","8","1","2","1"
"ipsec","Feb2000","176","16","131","11","14","10","3","5","2","56","3","2","5","3","4","1","40","3","2","5","2","4","1"
"ipsec","Mar2000","278","48","198","16","5","31","4","19","5","71","5","1","11","4","7","3","52","5","1","10","4","7","1"
"ipsec","Apr2000","132","27","90","9","7","4","2","19","1","43","6","2","3","2","6","1","28","6","2","3","2","5","1"
"ipsec","May2000","251","16","219","10","4","7","1","6","4","70","5","3","6","1","6","3","54","5","3","6","1","6","1"
"ipsec","Jun2000","203","12","178","8","9","4","1","2","1","60","4","1","4","1","2","1","43","4","1","4","1","2","1"
"ipsec","Jul2000","110","8","83","7","1","10","1","4","4","29","2","1","5","1","4","1","23","2","1","5","1","4","1"
"ipsec","Aug2000","162","9","133","6","3","12","3","1","4","54","3","1","7","2","1","2","38","3","1","6","2","1","1"
