wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"2000","Aug1997","1","","","","","1","","","","","","","1","","","","","","","1","","",""
"2000","Jan1998","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"2000","Feb1998","1","","","1","","","","","","","1","","","","","","","1","","","","",""
"2000","May1998","5","","4","1","","","","","","3","1","","","","","","3","1","","","","",""
"2000","Jun1998","7","2","4","","1","2","","","","3","","1","1","","","","3","","1","1","","",""
"822ext","Apr1991","215","43","120","","","74","13","7","1","23","","","16","2","3","1","15","","","12","2","3","1"
"822ext","May1991","107","23","47","1","","44","8","7","","16","1","","12","4","2","","16","1","","8","4","2",""
"822ext","Jun1991","136","34","70","1","","51","9","4","1","20","1","","11","2","3","1","19","1","","9","2","3","1"
"822ext","Jul1991","87","27","24","","","54","5","4","","7","","","14","3","1","","6","","","10","3","1",""
"822ext","Aug1991","99","10","35","","","54","5","5","","17","","","11","2","3","","16","","","9","2","3",""
"822ext","Sep1991","302","61","136","","","104","29","33","","24","","","11","5","6","","18","","","9","4","4",""
"822ext","Oct1991","387","100","159","","1","141","38","47","1","24","","1","18","4","9","1","20","","1","15","4","8","1"
"822ext","Nov1991","144","27","60","1","","47","16","18","2","11","1","","12","5","8","1","10","1","","11","5","8","1"
"822ext","Dec1991","187","25","87","","","75","18","7","","13","","","15","4","4","","11","","","13","3","3",""
"822ext","Jan1992","102","27","41","","","44","12","5","","9","","","9","4","4","","9","","","9","4","3",""
"822ext","Feb1992","215","68","95","1","2","76","16","24","1","16","1","2","13","5","10","1","16","1","2","12","4","10","1"
"822ext","Mar1992","215","63","69","2","1","100","23","20","","15","2","1","14","6","7","","14","2","1","11","5","7",""
"822ext","Apr1992","84","15","40","","","29","9","5","1","14","","","13","5","3","1","13","","","13","4","3","1"
"822ext","May1992","30","1","13","","","14","3","","","7","","","8","2","","","7","","","8","2","",""
"822ext","Jun1992","59","3","28","","","21","9","1","","14","","","9","3","1","","12","","","8","3","1",""
"822ext","Jul1992","58","","26","","","22","10","","","13","","","8","3","","","12","","","6","3","",""
"822ext","Aug1992","34","10","15","","2","10","1","6","","10","","1","5","1","4","","9","","1","5","1","4",""
"822ext","Sep1992","14","4","6","","2","2","3","","1","3","","1","2","3","","1","3","","1","2","3","","1"
"822ext","Oct1992","18","3","11","","1","3","","3","","7","","1","3","","2","","7","","1","3","","2",""
"822ext","Nov1992","21","8","9","","1","3","4","4","","7","","1","2","2","1","","6","","1","2","2","1",""
"822ext","Dec1992","99","44","26","","9","31","6","27","","12","","2","15","5","8","","11","","2","13","3","7",""
"822ext","Jan1993","203","50","72","1","11","80","13","26","","21","1","1","17","3","9","","17","1","1","14","3","8",""
"822ext","Feb1993","206","67","66","","32","95","4","9","","22","","2","14","3","6","","17","","2","10","3","6",""
"822ext","Mar1993","327","91","118","1","31","153","3","21","","20","1","1","19","2","4","","17","1","1","14","2","4",""
"822ext","Apr1993","123","30","53","","1","40","7","22","","13","","1","11","3","6","","13","","1","10","3","5",""
"822ext","May1993","76","15","27","1","","38","2","8","","11","1","","16","1","3","","10","1","","14","1","3",""
"822ext","Jun1993","104","6","53","","","39","8","4","","18","","","11","4","4","","14","","","10","3","4",""
"822ext","Jul1993","18","10","3","","","12","1","2","","2","","","6","1","2","","2","","","6","1","2",""
"822ext","Aug1993","82","13","40","1","","31","5","5","","13","1","","8","4","2","","12","1","","7","4","2",""
"822ext","Sep1993","142","10","74","1","","49","12","6","","21","1","","11","4","5","","18","1","","10","4","4",""
"822ext","Oct1993","118","13","57","1","","51","1","8","","15","1","","11","1","2","","12","1","","11","1","2",""
"822ext","Nov1993","157","66","60","4","","60","1","32","","25","3","","14","1","6","","22","2","","13","1","5",""
"822ext","Dec1993","52","23","17","1","","30","","4","","8","1","","10","","2","","7","1","","9","","1",""
"822ext","Jan1994","35","12","17","","","17","1","","","9","","","5","1","","","7","","","5","1","",""
"822ext","Feb1994","9","4","5","","","4","","","","4","","","2","","","","4","","","2","","",""
"822ext","Mar1994","20","7","16","","","4","","","","7","","","4","","","","7","","","4","","",""
"822ext","Apr1994","1","1","","","","1","","","","","","","1","","","","","","","1","","",""
"822ext","May1994","56","28","30","1","","17","","8","","10","1","","10","","2","","10","1","","9","","2",""
"822ext","Jun1994","23","2","13","1","","9","","","","4","1","","4","","","","4","1","","4","","",""
"822ext","Jul1994","46","20","17","","","29","","","","9","","","8","","","","8","","","8","","",""
"822ext","Aug1994","53","21","26","","","27","","","","6","","","9","","","","5","","","9","","",""
"822ext","Sep1994","47","12","17","","","29","","1","","9","","","9","","1","","9","","","8","","1",""
"822ext","Oct1994","228","84","87","5","1","130","1","4","","17","1","1","13","1","4","","14","1","1","11","1","3",""
"822ext","Nov1994","203","79","90","4","","97","2","10","","23","3","","19","2","9","","19","3","","18","1","7",""
"822ext","Dec1994","185","86","90","2","","90","1","2","","29","2","","16","1","1","","23","2","","15","1","1",""
"822ext","Jan1995","139","30","92","","","33","3","11","","20","","","10","2","3","","16","","","8","2","2",""
"822ext","Feb1995","108","11","68","","","35","2","3","","21","","","7","1","2","","14","","","7","1","2",""
"822ext","Mar1995","22","7","14","","","8","","","","11","","","5","","","","10","","","5","","",""
"822ext","Apr1995","33","12","21","","","12","","","","5","","","6","","","","4","","","6","","",""
"822ext","May1995","81","23","37","2","","36","1","5","","9","2","","12","1","1","","8","2","","11","1","1",""
"822ext","Jun1995","45","9","29","1","","14","","1","","14","1","","5","","1","","13","1","","5","","1",""
"822ext","Jul1995","41","22","18","1","","9","2","11","","8","1","","5","2","1","","7","1","","5","2","1",""
"822ext","Aug1995","15","2","7","4","","3","","1","","6","1","","3","","1","","6","1","","2","","1",""
"822ext","Sep1995","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Oct1995","34","6","27","","","3","2","2","","13","","","2","1","2","","13","","","2","1","2",""
"822ext","Nov1995","125","28","89","","","34","","2","","12","","","5","","1","","11","","","4","","1",""
"822ext","Dec1995","45","6","34","1","","7","","3","","10","1","","3","","1","","6","1","","3","","1",""
"822ext","Jan1996","10","2","10","","","","","","","7","","","","","","","6","","","","","",""
"822ext","Feb1996","76","5","63","3","","7","3","","","17","1","","6","3","","","16","1","","5","3","",""
"822ext","Apr1996","4","","4","","","","","","","2","","","","","","","2","","","","","",""
"822ext","May1996","10","5","9","1","","","","","","5","1","","","","","","5","1","","","","",""
"822ext","Jun1996","13","2","9","3","","1","","","","6","2","","1","","","","6","2","","1","","",""
"822ext","Aug1996","52","14","43","6","","2","","1","","13","2","","1","","1","","11","2","","1","","1",""
"822ext","Sep1996","12","3","7","","","3","","2","","5","","","1","","1","","4","","","1","","1",""
"822ext","Oct1996","3","2","1","","","","","2","","1","","","","","1","","1","","","","","1",""
"822ext","Nov1996","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"822ext","Dec1996","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Jan1997","2","","","1","1","","","","","","1","1","","","","","","1","1","","","",""
"822ext","Feb1997","3","","1","","1","1","","","","1","","1","1","","","","1","","1","1","","",""
"822ext","Mar1997","1","","","","1","","","","","","","1","","","","","","","1","","","",""
"822ext","Apr1997","2","","1","","","1","","","","1","","","1","","","","1","","","1","","",""
"822ext","Jun1997","13","","7","","","6","","","","5","","","3","","","","4","","","3","","",""
"822ext","Jul1997","83","7","29","1","1","50","1","1","","6","1","1","5","1","1","","5","1","1","5","1","1",""
"822ext","Aug1997","72","3","33","1","","37","1","","","8","1","","6","1","","","7","1","","6","1","",""
"822ext","Oct1997","6","2","3","","","3","","","","2","","","3","","","","2","","","3","","",""
"822ext","Dec1997","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Feb1998","40","9","27","1","","9","3","","","9","1","","3","1","","","8","1","","3","1","",""
"822ext","Mar1998","84","6","71","5","1","6","","1","","16","4","1","3","","1","","14","4","1","3","","1",""
"822ext","Apr1998","6","2","4","2","","","","","","4","2","","","","","","4","2","","","","",""
"822ext","May1998","4","1","","","","4","","","","","","","3","","","","","","","2","","",""
"822ext","Jul1998","3","","3","","","","","","","3","","","","","","","3","","","","","",""
"822ext","Aug1998","82","7","57","","8","12","4","1","","14","","2","3","1","1","","9","","2","3","1","1",""
"822ext","Sep1998","64","11","51","2","1","8","2","","","16","1","1","4","1","","","12","1","1","4","1","",""
"822ext","Oct1998","51","2","40","2","","8","1","","","11","2","","4","1","","","8","2","","4","1","",""
"822ext","Nov1998","29","4","20","","1","8","","","","14","","1","4","","","","6","","1","4","","",""
"822ext","Dec1998","8","2","4","","2","2","","","","4","","2","2","","","","4","","2","2","","",""
"822ext","Jan1999","50","22","18","","4","26","1","1","","4","","3","4","1","1","","3","","3","4","1","1",""
"822ext","Feb1999","88","44","12","3","","73","","","","7","1","","7","","","","5","1","","7","","",""
"822ext","Mar1999","94","37","47","1","2","43","1","","","13","1","2","7","1","","","9","1","2","7","1","",""
"822ext","Apr1999","12","5","8","1","","2","","1","","4","1","","2","","1","","4","1","","2","","1",""
"822ext","May1999","12","3","8","","","4","","","","5","","","2","","","","5","","","2","","",""
"822ext","Jun1999","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"822ext","Jul1999","22","7","8","4","1","9","","","","6","3","1","3","","","","6","3","1","3","","",""
"822ext","Aug1999","2","","1","1","","","","","","1","1","","","","","","1","1","","","","",""
"822ext","Sep1999","11","2","7","","","4","","","","4","","","4","","","","3","","","4","","",""
"822ext","Oct1999","16","6","5","2","","8","1","","","5","1","","3","1","","","5","1","","3","1","",""
"822ext","Nov1999","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"822ext","Mar2000","137","14","83","1","10","38","5","","","13","1","4","5","3","","","13","1","3","5","3","",""
"822ext","Apr2000","6","3","2","","2","2","","","","2","","1","2","","","","1","","1","2","","",""
"822ext","May2000","14","3","6","2","","5","","1","","5","1","","2","","1","","5","1","","2","","1",""
"822ext","Jun2000","16","5","4","4","","8","","","","2","3","","4","","","","2","3","","4","","",""
"822ext","Jul2000","8","2","6","","","2","","","","3","","","1","","","","3","","","1","","",""
"822ext","Aug2000","2","1","","1","","1","","","","","1","","1","","","","","1","","1","","",""
"822ext","Sep2000","8","3","3","","1","4","","","","2","","1","2","","","","2","","1","2","","",""
"822ext","Oct2000","17","6","9","","","8","","","","6","","","3","","","","6","","","3","","",""
"822ext","Nov2000","15","9","8","","","7","","","","4","","","2","","","","4","","","2","","",""
"822ext","Dec2000","18","5","9","","1","8","","","","7","","1","4","","","","6","","1","4","","",""
"822ext","Jan2001","42","16","15","1","6","20","","","","5","1","3","4","","","","5","1","3","4","","",""
"822ext","Feb2001","19","12","4","","2","13","","","","4","","2","3","","","","4","","2","3","","",""
"822ext","Mar2001","3","1","1","","1","1","","","","1","","1","1","","","","1","","1","1","","",""
"822ext","Apr2001","14","4","6","1","","6","","1","","5","1","","3","","1","","5","1","","3","","1",""
"822ext","May2001","116","31","59","4","12","41","","","","15","2","6","4","","","","14","2","5","4","","",""
"822ext","Jun2001","25","9","6","","2","17","","","","2","","2","4","","","","2","","2","4","","",""
"822ext","Jul2001","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Aug2001","10","5","5","","1","4","","","","4","","1","2","","","","4","","1","2","","",""
"822ext","Sep2001","48","12","14","","11","23","","","","7","","4","6","","","","7","","3","6","","",""
"822ext","Oct2001","43","13","9","2","9","23","","","","4","2","4","7","","","","4","2","4","7","","",""
"822ext","Nov2001","31","15","4","1","6","20","","","","2","1","2","4","","","","2","1","2","4","","",""
"822ext","Dec2001","23","8","8","","6","4","","5","","4","","2","1","","1","","4","","2","1","","1",""
"822ext","Jan2002","33","4","9","1","3","18","","2","","2","1","1","3","","2","","2","1","1","3","","2",""
"822ext","Feb2002","233","83","61","1","13","148","1","9","","10","1","3","7","1","2","","8","1","2","7","1","2",""
"822ext","Mar2002","67","22","35","1","8","18","","5","","12","1","3","5","","2","","10","1","3","5","","2",""
"822ext","Apr2002","127","27","40","","19","57","1","8","2","10","","7","6","1","4","1","10","","6","6","1","4","1"
"822ext","May2002","235","68","94","4","17","114","","6","","15","1","5","7","","2","","14","1","5","7","","2",""
"822ext","Jun2002","176","28","66","","2","89","","19","","11","","2","5","","2","","11","","2","5","","2",""
"822ext","Jul2002","11","2","4","","1","5","","1","","2","","1","3","","1","","2","","1","3","","1",""
"822ext","Aug2002","95","24","30","8","15","36","","6","","11","2","3","5","","2","","11","2","3","5","","2",""
"822ext","Sep2002","28","7","11","","1","13","","3","","3","","1","5","","1","","3","","1","5","","1",""
"822ext","Oct2002","55","14","9","8","2","35","","1","","5","4","1","4","","1","","5","4","1","4","","1",""
"822ext","Nov2002","56","17","14","","11","28","","3","","6","","4","4","","1","","6","","4","4","","1",""
"822ext","Dec2002","58","17","22","","3","29","","4","","4","","3","5","","2","","4","","3","5","","2",""
"822ext","Jan2003","418","149","175","16","18","189","","18","2","14","4","5","7","","6","1","14","4","5","7","","4","1"
"822ext","Feb2003","286","65","131","9","24","99","3","13","7","22","2","10","8","1","4","1","21","2","8","8","1","3","1"
"822ext","Mar2003","51","13","17","","6","15","","7","6","8","","3","4","","2","2","8","","3","4","","2","1"
"822ext","Oct2003","1","1","","","","","","1","","","","","","","1","","","","","","","1",""
"aaa","Dec1998","22","5","16","4","","1","","1","","9","1","","1","","1","","7","1","","1","","1",""
"aaa","Jan1999","13","","7","","","6","","","","6","","","2","","","","5","","","2","","",""
"aaa","Feb1999","157","1","127","26","","3","1","","","24","1","","2","1","","","15","1","","2","1","",""
"aaa","Mar1999","50","4","41","7","","2","","","","17","2","","1","","","","13","2","","1","","",""
"aaa","Apr1999","7","2","6","","","1","","","","4","","","1","","","","4","","","1","","",""
"aaa","Jun1999","27","5","20","2","","5","","","","11","2","","3","","","","8","1","","3","","",""
"aaa","Jul1999","6","1","3","1","","2","","","","3","1","","2","","","","3","1","","2","","",""
"aaa","Aug1999","18","5","13","","","2","","3","","8","","","1","","2","","8","","","1","","2",""
"aaa","Sep1999","64","12","44","5","","10","","5","","22","2","","3","","1","","18","1","","2","","1",""
"aaa","Oct1999","142","12","106","6","2","21","4","3","","25","2","1","7","1","2","","19","2","1","5","1","2",""
"aaa","Nov1999","99","10","79","8","","6","2","4","","22","3","","2","1","4","","16","3","","2","1","3",""
"aaa","Dec1999","10","4","5","3","","1","","1","","3","3","","1","","1","","3","2","","1","","1",""
"aaa","Jan2000","17","6","11","","","4","","2","","8","","","2","","1","","8","","","2","","1",""
"aaa","Feb2000","43","6","33","3","","7","","","","11","2","","2","","","","9","2","","2","","",""
"aaa","Mar2000","61","6","55","1","","4","","1","","22","1","","2","","1","","18","1","","2","","1",""
"aaa","Apr2000","73","6","58","5","1","9","","","","15","1","1","2","","","","11","1","1","2","","",""
"aaa","May2000","34","4","33","1","","","","","","20","1","","","","","","16","1","","","","",""
"aaa","Jun2000","157","7","145","8","","4","","","","31","3","","3","","","","22","3","","2","","",""
"aaa","Jul2000","47","3","42","4","","1","","","","17","2","","1","","","","15","2","","1","","",""
"aaa","Aug2000","111","2","105","1","","4","1","","","31","1","","1","1","","","22","1","","1","1","",""
"aaa","Sep2000","31","8","23","1","","1","5","1","","11","1","","1","1","1","","11","1","","1","1","1",""
"aaa","Oct2000","89","14","77","7","","4","","1","","24","3","","1","","1","","18","3","","1","","1",""
"aaa","Nov2000","94","20","65","10","","13","","6","","16","4","","3","","4","","14","4","","3","","3",""
"aaa","Dec2000","31","5","26","","","4","","1","","17","","","2","","1","","14","","","2","","1",""
"aaa","Jan2001","342","37","319","10","","10","","2","1","46","2","","3","","2","1","30","2","","3","","2","1"
"aaa","Feb2001","170","19","153","9","","6","","2","","26","2","","2","","2","","16","2","","2","","2",""
"aaa","Mar2001","172","16","161","6","","2","","3","","27","2","","2","","2","","17","2","","2","","2",""
"aaa","Apr2001","304","34","283","6","8","1","","1","5","35","1","1","1","","1","1","20","1","1","1","","1","1"
"aaa","May2001","392","31","242","5","116","4","","","25","38","1","1","2","","","2","20","1","1","2","","","1"
"aaa","Jun2001","489","45","262","14","205","4","","2","2","40","1","1","2","","2","2","22","1","1","2","","2","1"
"aaa","Jul2001","162","20","96","","55","5","","","6","28","","1","1","","","1","15","","1","1","","","1"
"aaa","Aug2001","323","88","195","5","119","1","","","3","30","1","1","1","","","3","15","1","1","1","","","1"
"aaa","Sep2001","191","79","139","5","42","","","3","2","26","1","1","","","3","1","13","1","1","","","2","1"
"aaa","Oct2001","355","38","235","8","107","","","5","","39","1","1","","","2","","21","1","1","","","2",""
"aaa","Nov2001","227","25","149","2","72","2","","2","","35","1","1","2","","2","","17","1","1","1","","2",""
"aaa","Dec2001","29","2","27","2","","","","","","6","1","","","","","","5","1","","","","",""
"aaa","Jan2002","141","30","129","10","","","","2","","25","1","","","","2","","15","1","","","","2",""
"aaa","Feb2002","383","73","337","35","","2","","9","","34","1","","1","","3","","19","1","","1","","3",""
"aaa","Mar2002","205","19","202","2","","","","1","","28","1","","","","1","","17","1","","","","1",""
"aaa","Apr2002","428","46","404","15","","3","","6","","26","1","","1","","3","","14","1","","1","","2",""
"aaa","May2002","71","8","64","3","","3","","1","","12","1","","2","","1","","10","1","","2","","1",""
"aaa","Jun2002","185","17","180","","","5","","","","24","","","2","","","","15","","","2","","",""
"aaa","Jul2002","79","9","76","2","","1","","","","16","1","","1","","","","12","1","","1","","",""
"aaa","Aug2002","16","5","14","1","","","","1","","9","1","","","","1","","9","1","","","","1",""
"aaa","Sep2002","138","15","125","10","","2","","1","","16","2","","1","","1","","13","2","","1","","1",""
"aaa","Oct2002","130","9","116","7","","7","","","","18","1","","2","","","","15","1","","2","","",""
"aaa","Nov2002","47","6","43","","","","","4","","11","","","","","2","","10","","","","","2",""
"aaa","Dec2002","83","6","77","5","","1","","","","14","1","","1","","","","10","1","","1","","",""
"aaa","Jan2003","27","2","25","1","","1","","","","10","1","","1","","","","8","1","","1","","",""
"aaa","Feb2003","29","4","25","4","","","","","","11","2","","","","","","7","2","","","","",""
"aaa","Mar2003","40","11","27","10","1","2","","","","7","2","1","1","","","","6","2","1","1","","",""
"aaa","Apr2003","40","12","31","6","1","1","","1","","9","3","1","1","","1","","6","3","1","1","","1",""
"aaa","May2003","65","13","49","11","1","1","","2","1","10","1","1","1","","2","1","10","1","1","1","","2","1"
"aaa","Jun2003","51","14","37","7","","2","","5","","13","1","","1","","2","","11","1","","1","","2",""
"aaa","Jul2003","39","6","32","3","","","","4","","11","2","","","","4","","8","2","","","","2",""
"aaa","Aug2003","43","5","32","7","","","","4","","14","7","","","","4","","9","4","","","","4",""
"aaa","Sep2003","41","6","35","5","","1","","","","8","1","","1","","","","7","1","","1","","",""
"aaa","Oct2003","77","11","65","11","","","","1","","13","2","","","","1","","9","2","","","","1",""
"aaa","Nov2003","41","5","36","2","","","","3","","12","1","","","","1","","9","1","","","","1",""
"aaa","Dec2003","72","15","54","9","","1","1","7","","17","3","","1","1","3","","13","3","","1","1","3",""
"aaa","Jan2004","112","3","108","3","","","","1","","23","2","","","","1","","13","2","","","","1",""
"aaa","Feb2004","124","9","112","9","1","1","","1","","29","5","1","1","","1","","21","5","1","1","","1",""
"aaa","Mar2004","129","18","110","5","1","2","","11","","30","3","1","2","","5","","19","3","1","2","","5",""
"aaa","Apr2004","122","31","93","16","","1","","12","","26","3","","1","","6","","16","3","","1","","5",""
"aaa","May2004","162","28","137","18","","","","7","","28","1","","","","2","","17","1","","","","2",""
"aaa","Jun2004","72","9","63","8","","1","","","","14","2","","1","","","","9","2","","1","","",""
"aaa","Jul2004","94","7","85","5","1","","","3","","21","2","1","","","1","","10","2","1","","","1",""
"acap","Mar1994","13","","","","","9","","","4","","","","1","","","1","","","","1","","","1"
"acap","Apr1994","4","","","","","4","","","","","","","1","","","","","","","1","","",""
"acap","Jun1994","18","","","","","18","","","","","","","1","","","","","","","1","","",""
"acap","Oct1994","8","","","","","8","","","","","","","1","","","","","","","1","","",""
"acap","Nov1994","9","","9","","","","","","","1","","","","","","","1","","","","","",""
"acap","Feb1995","10","","","","","10","","","","","","","1","","","","","","","1","","",""
"acap","Mar1995","71","","13","","","58","","","","1","","","4","","","","1","","","3","","",""
"acap","Apr1995","268","","15","","","253","","","","1","","","4","","","","1","","","4","","",""
"acap","May1995","390","90","90","","","285","","15","","3","","","9","","1","","3","","","7","","1",""
"acap","Jun1995","405","90","90","","","315","","","","5","","","8","","","","5","","","8","","",""
"acap","Jul1995","84","","14","","","70","","","","1","","","3","","","","1","","","2","","",""
"acap","Aug1995","104","","11","","","93","","","","1","","","7","","","","1","","","7","","",""
"acap","Sep1995","27","","17","","","10","","","","2","","","1","","","","2","","","1","","",""
"acap","Oct1995","23","6","","","","17","","6","","","","","3","","1","","","","","3","","1",""
"acap","Nov1995","17","","7","","","10","","","","4","","","3","","","","4","","","2","","",""
"acap","Feb1996","10","3","5","","","4","1","","","2","","","2","1","","","2","","","2","1","",""
"acap","Mar1996","70","9","33","","","13","","9","15","3","","","1","","1","2","3","","","1","","1","1"
"acap","Apr1996","150","74","","14","","85","13","38","","","1","","5","1","1","","","1","","4","1","1",""
"acap","May1996","245","73","57","24","","141","","23","","8","3","","6","","2","","8","3","","6","","2",""
"acap","Jun1996","13","3","5","","","7","","1","","3","","","4","","1","","3","","","3","","1",""
"acap","Aug1996","13","","3","","","8","","","2","2","","","2","","","1","2","","","2","","","1"
"acap","Sep1996","80","15","25","8","","32","6","9","","8","1","","8","2","3","","8","1","","7","2","3",""
"acap","Oct1996","80","22","16","4","6","34","6","12","2","7","2","1","10","2","2","1","7","2","1","9","2","2","1"
"acap","Nov1996","34","8","10","","","10","2","4","8","3","","","4","1","2","2","3","","","3","1","2","1"
"acap","Dec1996","11","1","1","","","8","2","","","1","","","3","1","","","1","","","3","1","",""
"acap","Jan1997","15","4","8","2","","3","","2","","2","1","","2","","1","","2","1","","1","","1",""
"acap","Feb1997","2","","","","","2","","","","","","","1","","","","","","","1","","",""
"acap","Jun1997","65","11","12","6","15","17","10","1","4","7","2","3","10","3","1","2","6","2","3","9","3","1","1"
"acap","Jul1997","3","3","","","","","3","","","","","","","1","","","","","","","1","",""
"acap","Sep1997","146","56","20","9","18","75","2","14","8","6","3","2","13","1","2","3","6","3","2","12","1","2","1"
"acap","Oct1997","47","2","","","","45","","2","","","","","2","","1","","","","","2","","1",""
"acap","Dec1997","78","","2","","15","61","","","","1","","1","3","","","","1","","1","3","","",""
"acap","Jan1998","61","6","22","5","2","22","3","2","5","7","4","2","10","1","1","1","7","4","2","7","1","1","1"
"acap","Feb1998","15","6","4","3","","2","","4","2","3","2","","1","","2","1","3","2","","1","","2","1"
"acap","Mar1998","133","33","33","4","16","43","16","7","14","11","2","2","13","2","4","4","10","2","2","9","2","4","1"
"acap","May1998","57","6","19","5","1","23","","6","3","11","3","1","8","","3","2","11","3","1","7","","3","1"
"acap","Jun1998","100","13","17","9","6","54","3","4","7","12","6","1","14","2","3","1","10","5","1","13","2","3","1"
"acap","Aug1998","6","2","1","","","3","","","2","1","","","2","","","1","1","","","2","","","1"
"acap","Sep1998","43","10","14","","3","16","","7","3","12","","2","5","","6","2","12","","2","5","","6","1"
"acap","Oct1998","11","3","3","","2","3","","3","","2","","2","2","","3","","2","","2","2","","3",""
"acap","Nov1998","6","","2","","","2","","","2","2","","","2","","","1","2","","","2","","","1"
"acap","Dec1998","52","1","17","4","4","23","3","1","","4","1","1","5","1","1","","4","1","1","5","1","1",""
"acap","Jan1999","162","47","39","41","20","49","","13","","7","6","6","12","","4","","7","6","6","11","","4",""
"acap","Feb1999","24","6","4","2","2","10","","","6","2","1","1","5","","","1","2","1","1","5","","","1"
"acap","Mar1999","2","2","","2","","","","","","","1","","","","","","","1","","","","",""
"acap","Jul1999","121","26","49","10","7","30","2","21","2","17","3","4","13","1","8","1","17","3","4","12","1","8","1"
"acap","Aug1999","249","99","46","21","10","121","8","41","2","7","5","3","16","1","6","1","7","5","3","14","1","6","1"
"acap","Oct1999","6","6","6","","","","","","","1","","","","","","","1","","","","","",""
"acap","Jan2000","102","11","56","6","18","13","","9","","11","2","2","2","","4","","11","2","2","2","","4",""
"acap","Feb2000","277","63","132","17","35","66","","27","","37","7","4","12","","9","","37","7","4","11","","9",""
"acap","Mar2000","10","6","","","","4","","6","","","","","2","","2","","","","","2","","2",""
"acap","May2000","12","2","4","","3","3","","2","","2","","1","1","","1","","2","","1","1","","1",""
"acap","Jun2000","30","","15","15","","","","","","1","1","","","","","","1","1","","","","",""
"acap","Jul2000","9","","3","","3","3","","","","1","","1","1","","","","1","","1","1","","",""
"acap","Aug2000","70","7","29","2","17","16","4","2","","9","1","2","3","1","1","","9","1","2","3","1","1",""
"acap","Oct2000","2","","2","","","","","","","1","","","","","","","1","","","","","",""
"acap","Dec2000","4","","4","","","","","","","1","","","","","","","1","","","","","",""
"acap","Jan2001","7","","","7","","","","","","","1","","","","","","","1","","","","",""
"acap","Feb2001","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"acap","Mar2001","26","13","1","","","24","","1","","1","","","2","","1","","1","","","2","","1",""
"acap","May2001","134","31","56","25","6","21","","24","2","7","3","2","5","","6","1","7","3","2","5","","6","1"
"acap","Jun2001","36","4","32","","1","","","3","","4","","1","","","1","","4","","1","","","1",""
"acap","Sep2001","673","264","226","48","5","185","","207","2","23","6","4","14","","14","2","23","6","4","13","","14","1"
"acap","Oct2001","43","22","13","1","","6","1","22","","4","1","","4","1","6","","4","1","","4","1","6",""
"acap","Nov2001","30","","30","","","","","","","1","","","","","","","1","","","","","",""
"acap","Dec2001","9","6","","","3","","","6","","","","1","","","2","","","","1","","","2",""
"acap","Jan2002","3","1","3","","","","","","","2","","","","","","","2","","","","","",""
"acap","Mar2002","50","29","7","3","6","10","","24","","6","2","2","6","","11","","6","2","2","6","","11",""
"acap","Apr2002","46","30","","","","46","","","","","","","3","","","","","","","3","","",""
"acap","May2002","3","3","","","","3","","","","","","","1","","","","","","","1","","",""
"acap","Jun2002","1","","","","","1","","","","","","","1","","","","","","","1","","",""
"acap","Jul2002","23","","18","5","","","","","","2","2","","","","","","2","2","","","","",""
"acap","Aug2002","15","6","6","","","3","","6","","2","","","1","","1","","2","","","1","","1",""
"acap","Nov2002","3","1","1","","","1","","1","","1","","","1","","1","","1","","","1","","1",""
"acap","Dec2002","26","13","","","13","","","13","","","","1","","","1","","","","1","","","1",""
"acap","Jan2003","5","4","","1","","","","4","","","1","","","","2","","","1","","","","2",""
"acap","Feb2003","5","2","1","2","","2","","","","1","2","","1","","","","1","2","","1","","",""
"acap","Mar2003","1","1","","","","","","1","","","","","","","1","","","","","","","1",""
"acap","May2003","9","3","4","5","","","","","","3","1","","","","","","3","1","","","","",""
"acap","Sep2003","3","","","","3","","","","","","","1","","","","","","","1","","","",""
"acap","Dec2003","4","","","2","","2","","","","","1","","1","","","","","1","","1","","",""
"acap","Feb2004","75","45","15","","30","","","30","","1","","1","","","1","","1","","1","","","1",""
"acap","Mar2004","120","75","","15","30","","","75","","","1","2","","","1","","","1","2","","","1",""
"acap","Apr2004","4","1","3","","","","","1","","3","","","","","1","","3","","","","","1",""
"acap","May2004","46","24","18","","","3","4","21","","2","","","1","1","4","","2","","","1","1","4",""
"acap","Jul2004","614","48","263","16","23","268","","42","2","16","2","4","8","","6","1","15","2","4","4","","6","1"
"acap","Aug2004","1920","842","711","272","95","284","31","527","","19","9","7","10","2","22","","19","9","7","9","2","22",""
"acct","Dec1991","3","","3","","","","","","","2","","","","","","","2","","","","","",""
