wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"822ext","Apr1991","198","40","114","","","65","13","6","","18","","","9","2","2","","14","","","8","2","2",""
"822ext","May1991","92","21","43","","","37","6","6","","13","","","7","3","1","","13","","","7","3","1",""
"822ext","Jun1991","119","29","60","","","49","9","1","","12","","","9","2","1","","12","","","8","2","1",""
"822ext","Jul1991","81","26","23","","","50","4","4","","6","","","10","2","1","","5","","","8","2","1",""
"822ext","Aug1991","91","9","31","","","51","5","4","","14","","","9","2","2","","13","","","8","2","2",""
"822ext","Sep1991","292","61","127","","","103","29","33","","17","","","10","5","6","","15","","","9","4","4",""
"822ext","Oct1991","373","98","152","","","136","38","47","","18","","","13","4","9","","15","","","11","4","8",""
"822ext","Nov1991","135","22","59","","","46","16","14","","10","","","11","5","6","","9","","","10","5","6",""
"822ext","Dec1991","177","25","81","","","72","17","7","","11","","","12","3","4","","10","","","11","3","3",""
"822ext","Jan1992","96","24","41","","","40","12","3","","9","","","6","4","2","","9","","","6","4","2",""
"822ext","Feb1992","199","61","92","","","75","15","17","","14","","","12","4","6","","14","","","11","4","6",""
"822ext","Mar1992","199","57","65","","","98","21","15","","11","","","12","4","4","","10","","","9","4","4",""
"822ext","Apr1992","74","13","38","","","25","6","5","","12","","","10","3","3","","11","","","10","3","3",""
"822ext","May1992","29","1","12","","","14","3","","","6","","","8","2","","","6","","","8","2","",""
"822ext","Jun1992","47","3","23","","","14","9","1","","10","","","5","3","1","","9","","","5","3","1",""
"822ext","Jul1992","47","","18","","","20","9","","","7","","","6","2","","","6","","","5","2","",""
"822ext","Aug1992","29","6","15","","2","9","","3","","10","","1","4","","3","","9","","1","4","","3",""
"822ext","Sep1992","12","3","6","","2","2","2","","","3","","1","2","2","","","3","","1","2","2","",""
"822ext","Oct1992","11","2","7","","","2","","2","","4","","","2","","1","","4","","","2","","1",""
"822ext","Nov1992","18","7","7","","1","3","3","4","","5","","1","2","1","1","","4","","1","2","1","1",""
"822ext","Dec1992","86","41","23","","8","27","4","24","","9","","1","11","3","6","","8","","1","10","3","6",""
"822ext","Jan1993","191","46","69","","11","74","13","24","","18","","1","12","3","7","","15","","1","10","3","7",""
"822ext","Feb1993","194","66","59","","30","93","4","8","","16","","1","12","3","5","","14","","1","10","3","5",""
"822ext","Mar1993","313","90","113","","31","147","2","20","","17","","1","14","1","3","","15","","1","11","1","3",""
"822ext","Apr1993","119","29","52","","","38","7","22","","12","","","9","3","6","","12","","","8","3","5",""
"822ext","May1993","68","10","25","","","34","2","7","","9","","","13","1","2","","8","","","11","1","2",""
"822ext","Jun1993","100","6","50","","","38","8","4","","15","","","10","4","4","","13","","","9","3","4",""
"822ext","Jul1993","15","10","","","","12","1","2","","","","","6","1","2","","","","","6","1","2",""
"822ext","Aug1993","75","10","36","1","","31","3","4","","10","1","","8","2","1","","9","1","","7","2","1",""
"822ext","Sep1993","135","7","71","1","","47","11","5","","18","1","","9","3","4","","15","1","","8","3","3",""
"822ext","Oct1993","110","12","51","1","","49","1","8","","11","1","","9","1","2","","9","1","","9","1","2",""
"822ext","Nov1993","139","63","48","1","","59","1","30","","15","1","","13","1","4","","14","1","","12","1","3",""
"822ext","Dec1993","47","20","15","1","","28","","3","","6","1","","8","","1","","6","1","","7","","1",""
"822ext","Jan1994","29","11","12","","","17","","","","5","","","5","","","","5","","","5","","",""
"822ext","Feb1994","6","3","3","","","3","","","","2","","","1","","","","2","","","1","","",""
"822ext","Mar1994","16","5","12","","","4","","","","4","","","4","","","","4","","","4","","",""
"822ext","Apr1994","1","1","","","","1","","","","","","","1","","","","","","","1","","",""
"822ext","May1994","53","27","28","1","","16","","8","","8","1","","9","","2","","8","1","","9","","2",""
"822ext","Jun1994","23","2","13","1","","9","","","","4","1","","4","","","","4","1","","4","","",""
"822ext","Jul1994","46","20","17","","","29","","","","9","","","8","","","","8","","","8","","",""
"822ext","Aug1994","53","21","26","","","27","","","","6","","","9","","","","5","","","9","","",""
"822ext","Sep1994","42","11","14","","","28","","","","7","","","8","","","","7","","","7","","",""
"822ext","Oct1994","224","81","86","5","","130","","3","","16","1","","13","","3","","13","1","","11","","2",""
"822ext","Nov1994","182","63","88","2","","89","","3","","21","1","","12","","2","","17","1","","12","","2",""
"822ext","Dec1994","169","76","81","2","","84","","2","","21","2","","12","","1","","17","2","","12","","1",""
"822ext","Jan1995","132","29","87","","","33","2","10","","15","","","10","1","2","","12","","","8","1","1",""
"822ext","Feb1995","97","8","61","","","35","","1","","14","","","7","","1","","10","","","7","","1",""
"822ext","Mar1995","20","5","12","","","8","","","","10","","","5","","","","9","","","5","","",""
"822ext","Apr1995","30","10","19","","","11","","","","4","","","5","","","","3","","","5","","",""
"822ext","May1995","77","23","36","1","","34","1","5","","8","1","","10","1","1","","7","1","","9","1","1",""
"822ext","Jun1995","42","9","27","","","14","","1","","12","","","5","","1","","11","","","5","","1",""
"822ext","Jul1995","36","21","15","1","","8","1","11","","6","1","","4","1","1","","5","1","","4","1","1",""
"822ext","Aug1995","12","2","5","4","","2","","1","","4","1","","2","","1","","4","1","","2","","1",""
"822ext","Oct1995","28","4","25","","","3","","","","11","","","2","","","","11","","","2","","",""
"822ext","Nov1995","121","27","86","","","33","","2","","10","","","4","","1","","9","","","4","","1",""
"822ext","Dec1995","43","5","32","1","","7","","3","","8","1","","3","","1","","5","1","","3","","1",""
"822ext","Jan1996","7","2","7","","","","","","","5","","","","","","","5","","","","","",""
"822ext","Feb1996","66","4","56","3","","6","1","","","13","1","","5","1","","","12","1","","5","1","",""
"822ext","Apr1996","4","","4","","","","","","","2","","","","","","","2","","","","","",""
"822ext","May1996","6","2","5","1","","","","","","3","1","","","","","","3","1","","","","",""
"822ext","Jun1996","10","2","8","1","","1","","","","5","1","","1","","","","5","1","","1","","",""
"822ext","Aug1996","48","12","41","5","","2","","","","11","1","","1","","","","9","1","","1","","",""
"822ext","Sep1996","12","3","7","","","3","","2","","5","","","1","","1","","4","","","1","","1",""
"822ext","Oct1996","3","2","1","","","","","2","","1","","","","","1","","1","","","","","1",""
"822ext","Nov1996","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Dec1996","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Jan1997","2","","","1","1","","","","","","1","1","","","","","","1","1","","","",""
"822ext","Feb1997","2","","1","","","1","","","","1","","","1","","","","1","","","1","","",""
"822ext","Apr1997","1","","","","","1","","","","","","","1","","","","","","","1","","",""
"822ext","Jun1997","11","","5","","","6","","","","4","","","3","","","","3","","","3","","",""
"822ext","Jul1997","82","7","29","1","","50","1","1","","6","1","","5","1","1","","5","1","","5","1","1",""
"822ext","Aug1997","67","1","30","1","","36","","","","5","1","","5","","","","4","1","","5","","",""
"822ext","Oct1997","5","2","2","","","3","","","","1","","","3","","","","1","","","3","","",""
"822ext","Feb1998","36","9","25","","","8","3","","","8","","","2","1","","","7","","","2","1","",""
"822ext","Mar1998","76","3","68","1","1","6","","","","13","1","1","3","","","","11","1","1","3","","",""
"822ext","Apr1998","3","1","3","","","","","","","3","","","","","","","3","","","","","",""
"822ext","May1998","3","1","","","","3","","","","","","","2","","","","","","","2","","",""
"822ext","Jul1998","3","","3","","","","","","","3","","","","","","","3","","","","","",""
"822ext","Aug1998","78","5","53","","8","12","4","1","","11","","2","3","1","1","","6","","2","3","1","1",""
"822ext","Sep1998","59","11","49","2","1","5","2","","","14","1","1","3","1","","","10","1","1","3","1","",""
"822ext","Oct1998","48","1","40","","","7","1","","","11","","","3","1","","","8","","","3","1","",""
"822ext","Nov1998","24","4","16","","1","7","","","","10","","1","3","","","","5","","1","3","","",""
"822ext","Dec1998","8","2","4","","2","2","","","","4","","2","2","","","","4","","2","2","","",""
"822ext","Jan1999","48","21","18","","3","26","1","","","4","","2","4","1","","","3","","2","4","1","",""
"822ext","Feb1999","85","44","11","3","","71","","","","6","1","","5","","","","5","1","","5","","",""
"822ext","Mar1999","85","30","42","","2","40","1","","","10","","2","6","1","","","7","","2","6","1","",""
"822ext","Apr1999","11","4","8","1","","2","","","","4","1","","2","","","","4","1","","2","","",""
"822ext","May1999","11","3","7","","","4","","","","4","","","2","","","","4","","","2","","",""
"822ext","Jun1999","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Jul1999","18","7","7","1","1","9","","","","5","1","1","3","","","","5","1","1","3","","",""
"822ext","Sep1999","10","2","6","","","4","","","","3","","","4","","","","2","","","4","","",""
"822ext","Oct1999","14","5","3","2","","8","1","","","3","1","","3","1","","","3","1","","3","1","",""
"822ext","Nov1999","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"822ext","Mar2000","124","12","75","1","9","37","2","","","7","1","3","4","1","","","7","1","3","4","1","",""
"822ext","Apr2000","6","3","2","","2","2","","","","2","","1","2","","","","1","","1","2","","",""
"822ext","May2000","11","2","4","2","","5","","","","4","1","","2","","","","4","1","","2","","",""
"822ext","Jun2000","14","5","4","2","","8","","","","2","1","","4","","","","2","1","","4","","",""
"822ext","Jul2000","7","2","5","","","2","","","","2","","","1","","","","2","","","1","","",""
"822ext","Aug2000","1","1","","","","1","","","","","","","1","","","","","","","1","","",""
"822ext","Sep2000","8","3","3","","1","4","","","","2","","1","2","","","","2","","1","2","","",""
"822ext","Oct2000","16","6","8","","","8","","","","5","","","3","","","","5","","","3","","",""
"822ext","Nov2000","12","9","5","","","7","","","","3","","","2","","","","3","","","2","","",""
"822ext","Dec2000","12","5","3","","1","8","","","","2","","1","4","","","","2","","1","4","","",""
"822ext","Jan2001","38","16","12","","6","20","","","","2","","3","4","","","","2","","3","4","","",""
"822ext","Feb2001","18","12","3","","2","13","","","","3","","2","3","","","","3","","2","3","","",""
"822ext","Mar2001","3","1","1","","1","1","","","","1","","1","1","","","","1","","1","1","","",""
"822ext","Apr2001","10","3","4","","","6","","","","3","","","3","","","","3","","","3","","",""
"822ext","May2001","106","31","55","","10","41","","","","12","","4","4","","","","11","","4","4","","",""
"822ext","Jun2001","25","9","6","","2","17","","","","2","","2","4","","","","2","","2","4","","",""
