wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"822ext","Aug2001","9","5","4","","1","4","","","","3","","1","2","","","","3","","1","2","","",""
"822ext","Sep2001","47","12","13","","11","23","","","","6","","4","6","","","","6","","3","6","","",""
"822ext","Oct2001","40","13","9","","8","23","","","","4","","3","7","","","","4","","3","7","","",""
"822ext","Nov2001","29","15","4","","5","20","","","","2","","1","4","","","","2","","1","4","","",""
"822ext","Dec2001","22","8","7","","6","4","","5","","3","","2","1","","1","","3","","2","1","","1",""
"822ext","Jan2002","31","3","9","","3","18","","1","","2","","1","3","","1","","2","","1","3","","1",""
"822ext","Feb2002","230","82","61","","13","148","","8","","10","","3","7","","1","","8","","2","7","","1",""
"822ext","Mar2002","63","22","31","1","8","18","","5","","9","1","3","5","","2","","7","1","3","5","","2",""
"822ext","Apr2002","113","22","38","","16","55","","4","","8","","4","4","","1","","8","","4","4","","1",""
"822ext","May2002","232","68","93","4","15","114","","6","","14","1","4","7","","2","","13","1","4","7","","2",""
"822ext","Jun2002","173","28","65","","","89","","19","","10","","","5","","2","","10","","","5","","2",""
"822ext","Jul2002","11","2","4","","1","5","","1","","2","","1","3","","1","","2","","1","3","","1",""
"822ext","Aug2002","92","23","29","8","14","36","","5","","10","2","2","5","","1","","10","2","2","5","","1",""
"822ext","Sep2002","28","7","11","","1","13","","3","","3","","1","5","","1","","3","","1","5","","1",""
"822ext","Oct2002","49","14","7","4","2","35","","1","","3","1","1","4","","1","","3","1","1","4","","1",""
"822ext","Nov2002","53","17","12","","10","28","","3","","5","","3","4","","1","","5","","3","4","","1",""
"822ext","Dec2002","57","16","22","","3","29","","3","","4","","3","5","","1","","4","","3","5","","1",""
"822ext","Jan2003","408","142","173","15","18","189","","11","2","12","3","5","7","","2","1","12","3","5","7","","2","1"
"822ext","Feb2003","267","60","122","9","19","99","","11","7","17","2","8","8","","2","1","16","2","7","8","","2","1"
"822ext","Mar2003","48","13","16","","6","15","","7","4","7","","3","4","","2","1","7","","3","4","","2","1"
"aaa","Dec1998","15","1","10","4","","1","","","","5","1","","1","","","","4","1","","1","","",""
"aaa","Jan1999","11","","6","","","5","","","","5","","","1","","","","4","","","1","","",""
"aaa","Feb1999","141","","113","26","","2","","","","13","1","","1","","","","9","1","","1","","",""
"aaa","Mar1999","41","2","34","5","","2","","","","11","1","","1","","","","8","1","","1","","",""
"aaa","Apr1999","5","1","5","","","","","","","3","","","","","","","3","","","","","",""
"aaa","Jun1999","17","2","14","2","","1","","","","6","2","","1","","","","5","1","","1","","",""
"aaa","Jul1999","1","","","1","","","","","","","1","","","","","","","1","","","","",""
"aaa","Aug1999","9","","7","","","2","","","","3","","","1","","","","3","","","1","","",""
"aaa","Sep1999","47","9","29","3","","10","","5","","13","1","","3","","1","","12","","","2","","1",""
"aaa","Oct1999","118","8","89","5","","19","4","1","","13","1","","5","1","1","","10","1","","3","1","1",""
"aaa","Nov1999","88","7","72","7","","6","2","1","","17","2","","2","1","1","","13","2","","2","1","1",""
"aaa","Dec1999","5","1","3","1","","","","1","","1","1","","","","1","","1","1","","","","1",""
"aaa","Jan2000","15","4","9","","","4","","2","","6","","","2","","1","","6","","","2","","1",""
"aaa","Feb2000","39","6","31","1","","7","","","","9","1","","2","","","","7","1","","2","","",""
"aaa","Mar2000","45","4","40","","","4","","1","","10","","","2","","1","","8","","","2","","1",""
"aaa","Apr2000","67","6","53","5","","9","","","","10","1","","2","","","","8","1","","2","","",""
"aaa","May2000","27","4","27","","","","","","","14","","","","","","","12","","","","","",""
"aaa","Jun2000","147","6","136","7","","4","","","","24","2","","3","","","","19","2","","2","","",""
"aaa","Jul2000","45","3","40","4","","1","","","","15","2","","1","","","","14","2","","1","","",""
"aaa","Aug2000","98","2","92","1","","4","1","","","21","1","","1","1","","","17","1","","1","1","",""
"aaa","Sep2000","24","5","18","1","","","5","","","6","1","","","1","","","6","1","","","1","",""
"aaa","Oct2000","80","13","69","7","","4","","","","17","3","","1","","","","14","3","","1","","",""
"aaa","Nov2000","82","14","62","8","","11","","1","","13","3","","1","","1","","11","3","","1","","",""
"aaa","Dec2000","26","4","22","","","3","","1","","13","","","1","","1","","10","","","1","","1",""
"aaa","Jan2001","325","34","305","10","","10","","","","34","2","","3","","","","21","2","","3","","",""
"aaa","Feb2001","161","16","145","9","","6","","1","","18","2","","2","","1","","12","2","","2","","1",""
"aaa","Mar2001","160","13","152","6","","2","","","","22","2","","2","","","","15","2","","2","","",""
"aaa","Apr2001","297","31","277","6","8","1","","","5","30","1","1","1","","","1","17","1","1","1","","","1"
"aaa","May2001","387","28","237","5","116","4","","","25","33","1","1","2","","","2","19","1","1","2","","","1"
"aaa","Jun2001","479","38","254","14","205","4","","","2","32","1","1","2","","","2","19","1","1","2","","","1"
"aaa","Jul2001","155","17","89","","55","5","","","6","23","","1","1","","","1","14","","1","1","","","1"
"aaa","Aug2001","313","87","186","5","119","1","","","2","24","1","1","1","","","2","12","1","1","1","","","1"
"aaa","Sep2001","189","77","139","5","42","","","1","2","26","1","1","","","1","1","13","1","1","","","1","1"
"aaa","Oct2001","349","35","231","8","107","","","3","","36","1","1","","","1","","19","1","1","","","1",""
"aaa","Nov2001","222","22","145","2","72","1","","2","","31","1","1","1","","2","","17","1","1","1","","2",""
"aaa","Dec2001","29","2","27","2","","","","","","6","1","","","","","","5","1","","","","",""
"aaa","Jan2002","136","28","125","10","","","","1","","22","1","","","","1","","13","1","","","","1",""
"aaa","Feb2002","376","71","331","35","","2","","8","","29","1","","1","","2","","17","1","","1","","2",""
"aaa","Mar2002","201","17","198","2","","","","1","","24","1","","","","1","","14","1","","","","1",""
"aaa","Apr2002","419","43","398","15","","3","","3","","24","1","","1","","1","","13","1","","1","","1",""
"aaa","May2002","69","7","63","3","","3","","","","11","1","","2","","","","9","1","","2","","",""
"aaa","Jun2002","183","15","178","","","5","","","","22","","","2","","","","13","","","2","","",""
"aaa","Jul2002","77","7","74","2","","1","","","","15","1","","1","","","","11","1","","1","","",""
"aaa","Aug2002","10","2","9","1","","","","","","6","1","","","","","","6","1","","","","",""
"aaa","Sep2002","134","14","121","10","","2","","1","","13","2","","1","","1","","10","2","","1","","1",""
"aaa","Oct2002","125","7","112","7","","6","","","","14","1","","1","","","","11","1","","1","","",""
"aaa","Nov2002","42","1","42","","","","","","","10","","","","","","","9","","","","","",""
"aaa","Dec2002","77","6","71","5","","1","","","","11","1","","1","","","","8","1","","1","","",""
"aaa","Jan2003","23","1","21","1","","1","","","","6","1","","1","","","","5","1","","1","","",""
"aaa","Feb2003","25","3","21","4","","","","","","7","2","","","","","","5","2","","","","",""
"aaa","Mar2003","36","9","26","10","","","","","","6","2","","","","","","5","2","","","","",""
"aaa","Apr2003","32","10","27","5","","","","","","7","2","","","","","","5","2","","","","",""
"aaa","May2003","61","11","49","11","","1","","","","10","1","","1","","","","10","1","","1","","",""
"aaa","Jun2003","46","11","35","7","","","","4","","11","1","","","","1","","9","1","","","","1",""
"aaa","Jul2003","36","4","31","3","","","","2","","10","2","","","","2","","7","2","","","","1",""
"aaa","Aug2003","26","1","25","1","","","","","","7","1","","","","","","4","1","","","","",""
"aaa","Sep2003","39","5","34","5","","","","","","7","1","","","","","","6","1","","","","",""
"aaa","Oct2003","72","11","61","10","","","","1","","10","1","","","","1","","7","1","","","","1",""
"aaa","Nov2003","38","5","33","2","","","","3","","9","1","","","","1","","6","1","","","","1",""
"aaa","Dec2003","62","12","50","7","","","","5","","13","1","","","","1","","9","1","","","","1",""
"aaa","Jan2004","102","2","100","2","","","","","","15","1","","","","","","8","1","","","","",""
"aaa","Feb2004","106","6","101","5","","","","","","19","1","","","","","","12","1","","","","",""
"aaa","Mar2004","105","11","94","3","","1","","7","","18","1","","1","","2","","10","1","","1","","2",""
"aaa","Apr2004","101","24","79","14","","","","8","","16","1","","","","2","","11","1","","","","2",""
"aaa","May2004","152","27","128","18","","","","6","","22","1","","","","1","","14","1","","","","1",""
"aaa","Jun2004","68","8","61","7","","","","","","12","1","","","","","","9","1","","","","",""
"aaa","Jul2004","86","4","82","4","","","","","","19","1","","","","","","10","1","","","","",""
"acap","Mar1994","13","","","","","9","","","4","","","","1","","","1","","","","1","","","1"
"acap","Apr1994","4","","","","","4","","","","","","","1","","","","","","","1","","",""
"acap","Jun1994","18","","","","","18","","","","","","","1","","","","","","","1","","",""
"acap","Oct1994","8","","","","","8","","","","","","","1","","","","","","","1","","",""
"acap","Nov1994","9","","9","","","","","","","1","","","","","","","1","","","","","",""
"acap","Feb1995","10","","","","","10","","","","","","","1","","","","","","","1","","",""
"acap","Mar1995","71","","13","","","58","","","","1","","","4","","","","1","","","3","","",""
"acap","Apr1995","268","","15","","","253","","","","1","","","4","","","","1","","","4","","",""
"acap","May1995","390","90","90","","","285","","15","","3","","","9","","1","","3","","","7","","1",""
"acap","Jun1995","405","90","90","","","315","","","","5","","","8","","","","5","","","8","","",""
"acap","Jul1995","84","","14","","","70","","","","1","","","3","","","","1","","","2","","",""
"acap","Aug1995","104","","11","","","93","","","","1","","","7","","","","1","","","7","","",""
"acap","Sep1995","27","","17","","","10","","","","2","","","1","","","","2","","","1","","",""
"acap","Oct1995","23","6","","","","17","","6","","","","","3","","1","","","","","3","","1",""
"acap","Nov1995","10","","1","","","9","","","","1","","","2","","","","1","","","2","","",""
"acap","Feb1996","9","3","5","","","4","","","","2","","","2","","","","2","","","2","","",""
"acap","Mar1996","70","9","33","","","13","","9","15","3","","","1","","1","2","3","","","1","","1","1"
"acap","Apr1996","150","74","","14","","85","13","38","","","1","","5","1","1","","","1","","4","1","1",""
"acap","May1996","245","73","57","24","","141","","23","","8","3","","6","","2","","8","3","","6","","2",""
"acap","Jun1996","8","2","2","","","5","","1","","2","","","2","","1","","2","","","2","","1",""
"acap","Aug1996","12","","2","","","8","","","2","1","","","2","","","1","1","","","2","","","1"
"acap","Sep1996","68","15","19","8","","26","6","9","","5","1","","6","2","3","","5","1","","6","2","3",""
"acap","Oct1996","64","18","12","2","6","28","6","10","","5","1","1","7","2","1","","5","1","1","7","2","1",""
"acap","Nov1996","30","8","8","","","8","2","4","8","2","","","3","1","2","2","2","","","3","1","2","1"
"acap","Dec1996","8","1","1","","","7","","","","1","","","2","","","","1","","","2","","",""
"acap","Jan1997","15","4","8","2","","3","","2","","2","1","","2","","1","","2","1","","1","","1",""
"acap","Feb1997","2","","","","","2","","","","","","","1","","","","","","","1","","",""
"acap","Jun1997","56","11","9","5","15","12","10","1","4","4","1","3","7","3","1","2","4","1","3","6","3","1","1"
"acap","Jul1997","3","3","","","","","3","","","","","","","1","","","","","","","1","",""
"acap","Sep1997","133","52","18","4","18","69","2","14","8","5","1","2","10","1","2","3","5","1","2","10","1","2","1"
"acap","Oct1997","45","","","","","45","","","","","","","2","","","","","","","2","","",""
"acap","Dec1997","76","","","","15","61","","","","","","1","3","","","","","","1","3","","",""
"acap","Jan1998","55","6","19","3","1","22","3","2","5","5","2","1","10","1","1","1","5","2","1","7","1","1","1"
"acap","Feb1998","10","2","4","","","2","","2","2","3","","","1","","1","1","3","","","1","","1","1"
"acap","Mar1998","118","30","28","4","16","40","14","4","12","8","2","2","11","1","2","3","8","2","2","8","1","2","1"
"acap","May1998","43","4","12","3","1","21","","4","2","7","2","1","7","","1","1","7","2","1","7","","1","1"
"acap","Jun1998","84","11","9","5","6","51","2","4","7","4","2","1","11","1","3","1","4","2","1","10","1","3","1"
"acap","Aug1998","6","2","1","","","3","","","2","1","","","2","","","1","1","","","2","","","1"
"acap","Sep1998","32","6","7","","2","15","","5","3","6","","1","4","","4","2","6","","1","4","","4","1"
"acap","Oct1998","5","1","","","1","3","","1","","","","1","2","","1","","","","1","2","","1",""
"acap","Nov1998","5","","1","","","2","","","2","1","","","2","","","1","1","","","2","","","1"
"acap","Dec1998","46","","15","4","4","23","","","","3","1","1","5","","","","3","1","1","5","","",""
"acap","Jan1999","150","41","37","41","18","45","","9","","6","6","4","9","","2","","6","6","4","8","","2",""
"acap","Feb1999","24","6","4","2","2","10","","","6","2","1","1","5","","","1","2","1","1","5","","","1"
"acap","Jul1999","87","17","38","8","1","25","","13","2","11","2","1","10","","4","1","11","2","1","9","","4","1"
"acap","Aug1999","233","93","46","15","10","117","8","35","2","7","2","3","14","1","4","1","7","2","3","13","1","4","1"
"acap","Oct1999","6","6","6","","","","","","","1","","","","","","","1","","","","","",""
"acap","Jan2000","95","9","53","4","18","13","","7","","10","1","2","2","","2","","10","1","2","2","","2",""
"acap","Feb2000","214","46","95","13","30","58","","18","","17","5","2","7","","5","","17","5","2","7","","5",""
"acap","Mar2000","10","6","","","","4","","6","","","","","2","","2","","","","","2","","2",""
"acap","May2000","3","","","","","3","","","","","","","1","","","","","","","1","","",""
"acap","Jun2000","30","","15","15","","","","","","1","1","","","","","","1","1","","","","",""
"acap","Jul2000","3","","","","","3","","","","","","","1","","","","","","","1","","",""
"acap","Aug2000","56","5","19","","17","16","4","","","4","","2","3","1","","","4","","2","3","1","",""
"acap","Dec2000","4","","4","","","","","","","1","","","","","","","1","","","","","",""
"acap","Jan2001","7","","","7","","","","","","","1","","","","","","","1","","","","",""
"acap","Mar2001","25","13","","","","24","","1","","","","","2","","1","","","","","2","","1",""
"acap","May2001","116","26","47","25","4","20","","20","","2","3","1","4","","4","","2","3","1","4","","4",""
"acap","Jun2001","33","3","30","","","","","3","","2","","","","","1","","2","","","","","1",""
"acap","Sep2001","645","257","218","44","1","179","","202","1","18","4","1","11","","12","1","18","4","1","10","","12","1"
"acap","Oct2001","37","20","12","1","","4","","20","","3","1","","2","","4","","3","1","","2","","4",""
"acap","Nov2001","30","","30","","","","","","","1","","","","","","","1","","","","","",""
"acap","Dec2001","3","3","","","","","","3","","","","","","","1","","","","","","","1",""
"acap","Jan2002","2","","2","","","","","","","1","","","","","","","1","","","","","",""
"acap","Mar2002","27","14","4","","5","4","","14","","3","","1","3","","5","","3","","1","3","","5",""
"acap","Apr2002","45","30","","","","45","","","","","","","2","","","","","","","2","","",""
"acap","Jul2002","15","","15","","","","","","","1","","","","","","","1","","","","","",""
"acap","Aug2002","6","6","","","","","","6","","","","","","","1","","","","","","","1",""
"acap","Nov2002","2","1","1","","","","","1","","1","","","","","1","","1","","","","","1",""
"acap","Dec2002","26","13","","","13","","","13","","","","1","","","1","","","","1","","","1",""
"acap","Jan2003","2","2","","","","","","2","","","","","","","1","","","","","","","1",""
"acap","Feb2003","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"acap","Mar2003","1","1","","","","","","1","","","","","","","1","","","","","","","1",""
"acap","May2003","5","","","5","","","","","","","1","","","","","","","1","","","","",""
"acap","Feb2004","75","45","15","","30","","","30","","1","","1","","","1","","1","","1","","","1",""
"acap","Mar2004","120","75","","15","30","","","75","","","1","2","","","1","","","1","2","","","1",""
"acap","Apr2004","2","1","1","","","","","1","","1","","","","","1","","1","","","","","1",""
"acap","May2004","34","15","15","","","","4","15","","1","","","","1","2","","1","","","","1","2",""
"acap","Jul2004","601","47","255","16","21","267","","42","","13","2","3","7","","6","","12","2","3","3","","6",""
"acap","Aug2004","1905","833","708","269","94","284","30","520","","16","7","6","10","1","17","","16","7","6","9","1","17",""
"acct","Dec1991","3","","3","","","","","","","2","","","","","","","2","","","","","",""
"acct","Jan1992","74","","48","4","","22","","","","6","1","","2","","","","5","1","","2","","",""
"acct","Feb1992","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"acct","Mar1992","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"acct","Nov1992","2","2","","","","2","","","","","","","1","","","","","","","1","","",""
"acct","Feb1993","2","2","","","","2","","","","","","","1","","","","","","","1","","",""
"acct","Mar1993","15","","10","","","5","","","","2","","","1","","","","2","","","1","","",""
"acct","Oct1993","3","3","","","","3","","","","","","","1","","","","","","","1","","",""
"acct","Nov1993","1","1","","","","1","","","","","","","1","","","","","","","1","","",""
"acct","Dec1993","2","1","1","","","1","","","","1","","","1","","","","1","","","1","","",""
"acct","Jan1994","2","2","","","","2","","","","","","","1","","","","","","","1","","",""
"acct","Feb1994","7","5","","","","7","","","","","","","2","","","","","","","2","","",""
"acct","Mar1994","6","4","","","","6","","","","","","","2","","","","","","","2","","",""
"acct","Apr1994","14","1","4","5","","5","","","","2","1","","3","","","","2","1","","3","","",""
"acct","May1994","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"acct","Jun1994","2","","1","1","","","","","","1","1","","","","","","1","1","","","","",""
"acct","Jul1994","1","","","","","1","","","","","","","1","","","","","","","1","","",""
"acct","Aug1994","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"acct","Oct1994","3","","3","","","","","","","1","","","","","","","1","","","","","",""
"addrconf","Jul1994","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"addrconf","Aug1994","89","3","49","16","","24","","","","10","2","","4","","","","10","2","","4","","",""
"addrconf","Sep1994","2","","1","","","1","","","","1","","","1","","","","1","","","1","","",""
"addrconf","Oct1994","21","2","12","1","","6","2","","","4","1","","2","1","","","4","1","","2","1","",""
"addrconf","Nov1994","44","9","27","3","","9","5","","","8","1","","2","1","","","7","1","","2","1","",""
"addrconf","Dec1994","11","","9","","","1","1","","","5","","","1","1","","","4","","","1","1","",""
"addrconf","Jan1995","90","8","52","3","","34","1","","","8","2","","5","1","","","7","2","","5","1","",""
